#| No.|Asub | b0  | b1  | b2  | b3  | t1  | t2  | t3  |Cmin |Cmax | evalulate_value (min value is recommendation) |
#|iter| x0  | x1  | x2  | x3  | x4  | x5  | x6  | x7  | x8  | x9  | evalulate_value (min value is reccomendation) |
No.59: 0.81, 0.91, 0.27, 0.94, 2.27, 0.06, 2.36, 18.95, 0.11, 2.80, 0.07223425960440705
No.60: 0.81, 0.91, 0.09, 0.37, 1.64, 1.75, 1.63, 19.88, 0.11, 2.51, 0.0735569208360945
No.61: 0.86, 0.91, 0.01, 0.01, 0.42, 0.03, 4.32, 20.00, 0.38, 2.54, 0.17713427197944864
No.62: 0.86, 0.91, 0.60, 0.75, 1.58, 0.01, 1.31, 20.00, 0.35, 2.80, 0.07078498315700524
No.63: 0.81, 0.91, 0.01, 0.82, 0.49, 0.49, 1.77, 18.23, 0.11, 2.80, 0.06452769475038829
No.64: 0.81, 0.91, 0.01, 0.01, 1.61, 0.01, 1.85, 17.86, 0.11, 2.80, 0.05744475687965206
No.65: 0.81, 0.91, 0.97, 0.01, 1.49, 0.01, 1.44, 16.04, 0.11, 2.80, 0.05208064065661501
No.66: 0.81, 0.91, 0.15, 0.01, 0.68, 0.01, 0.63, 14.35, 0.11, 2.80, 0.055604962003189796
No.67: 0.81, 0.91, 1.71, 0.79, 1.65, 0.01, 0.01, 14.40, 0.11, 2.80, 0.06878132269149892
No.68: 0.81, 0.91, 0.31, 0.01, 2.07, 0.01, 2.50, 14.56, 0.11, 2.80, 0.062225145975444054
No.69: 0.81, 0.91, 0.37, 0.01, 0.90, 1.27, 1.33, 15.50, 0.11, 2.80, 0.05408057988732695
No.70: 0.81, 0.91, 1.51, 0.01, 0.96, 0.01, 2.10, 15.07, 0.11, 2.80, 0.05491709836432029
No.71: 0.81, 0.91, 0.49, 0.52, 1.01, 0.01, 1.56, 15.61, 0.11, 2.80, 0.05364586102653773
No.72: 0.81, 0.91, 0.53, 0.01, 1.06, 0.01, 0.79, 15.85, 0.11, 2.80, 0.054676024862896286
No.73: 0.81, 0.91, 1.36, 0.01, 1.10, 0.83, 2.12, 16.58, 0.11, 2.80, 0.06504408587440956
No.74: 0.81, 0.91, 0.62, 0.01, 1.83, 0.48, 1.21, 15.26, 0.11, 2.80, 0.05072681430424575
No.75: 0.81, 0.91, 0.92, 0.01, 1.54, 1.13, 1.19, 14.59, 0.11, 2.80, 0.05292141356461564
No.76: 0.81, 1.18, 0.84, 0.01, 1.57, 0.01, 1.34, 14.94, 0.11, 2.80, 0.05429603580277199
No.77: 0.81, 0.91, 0.37, 0.01, 2.07, 0.01, 1.37, 15.80, 0.11, 2.80, 0.05022344106392898
No.78: 0.81, 0.91, 0.17, 0.01, 1.87, 0.45, 1.52, 15.89, 0.11, 2.80, 0.05158073310981536
No.79: 0.81, 0.91, 0.19, 0.01, 1.89, 0.01, 1.13, 15.38, 0.11, 2.77, 0.04833639331302161
No.80: 0.81, 0.91, 0.03, 0.01, 2.04, 0.01, 0.77, 15.03, 0.11, 2.80, 0.04909609710768129
No.81: 0.81, 0.91, 0.05, 0.01, 1.75, 0.01, 1.32, 15.07, 0.14, 2.74, 0.04645086303183903
No.82: 0.81, 0.91, 0.01, 0.01, 1.63, 0.30, 1.31, 14.80, 0.17, 2.71, 0.046360213590542515
No.83: 0.81, 0.91, 0.01, 0.01, 1.51, 0.05, 1.53, 15.07, 0.20, 2.68, 0.04603366643956526
No.84: 0.81, 0.91, 0.01, 0.01, 1.63, 0.01, 1.32, 14.88, 0.22, 2.66, 0.045020115800642954
No.85: 0.81, 0.91, 0.01, 0.01, 1.71, 0.01, 1.27, 15.01, 0.25, 2.63, 0.045140971954164014
No.86: 0.81, 0.91, 0.01, 0.01, 1.70, 0.01, 1.42, 14.76, 0.25, 2.64, 0.04465609493251408
No.87: 0.81, 0.91, 0.01, 0.10, 1.64, 0.01, 1.32, 14.66, 0.27, 2.62, 0.04458124606670302
No.88: 0.81, 0.91, 0.01, 0.02, 1.69, 0.01, 1.23, 14.56, 0.29, 2.60, 0.043699867832885396
No.89: 0.81, 0.91, 0.01, 0.01, 1.65, 0.01, 1.30, 14.46, 0.32, 2.58, 0.04307742245110989
No.90: 0.81, 0.91, 0.01, 0.01, 1.63, 0.01, 1.24, 14.36, 0.34, 2.56, 0.042650109850782665
No.91: 0.81, 0.91, 0.01, 0.01, 1.65, 0.01, 1.28, 14.26, 0.36, 2.54, 0.04230514663991713
No.92: 0.81, 0.91, 0.01, 0.01, 1.64, 0.01, 1.25, 14.16, 0.38, 2.52, 0.04190139964109877
No.93: 0.81, 0.91, 0.04, 0.01, 1.63, 0.01, 1.26, 14.06, 0.40, 2.50, 0.0416144624646911
No.94: 0.81, 0.91, 0.01, 0.01, 1.62, 0.01, 1.28, 13.95, 0.43, 2.48, 0.041100916089599836
No.95: 0.81, 0.91, 0.01, 0.01, 1.61, 0.01, 1.30, 13.85, 0.45, 2.50, 0.040740240138274056
No.96: 0.81, 0.91, 0.01, 0.01, 1.60, 0.01, 1.28, 13.75, 0.47, 2.49, 0.04035170510133133
No.97: 0.81, 0.91, 0.01, 0.01, 1.58, 0.01, 1.29, 13.65, 0.49, 2.48, 0.04003984413695933
No.98: 0.81, 0.91, 0.01, 0.01, 1.57, 0.05, 1.28, 13.55, 0.51, 2.47, 0.03984938135882339
No.99: 0.81, 0.91, 0.01, 0.01, 1.56, 0.01, 1.28, 13.45, 0.53, 2.46, 0.03939365535328299
No.100: 0.81, 0.91, 0.01, 0.01, 1.57, 0.01, 1.27, 13.35, 0.56, 2.45, 0.039101805964131355
No.101: 0.81, 0.91, 0.01, 0.01, 1.57, 0.01, 1.26, 13.25, 0.58, 2.44, 0.03879667845700482
No.102: 0.81, 0.91, 0.01, 0.01, 1.56, 0.01, 1.27, 13.15, 0.60, 2.43, 0.03854431263762609
No.103: 0.81, 0.91, 0.01, 0.01, 1.56, 0.01, 1.26, 13.05, 0.62, 2.44, 0.03824853854803905
No.104: 0.81, 0.91, 0.01, 0.01, 1.55, 0.01, 1.26, 12.95, 0.64, 2.43, 0.03796305453258671
No.105: 0.81, 0.91, 0.01, 0.01, 1.55, 0.01, 1.26, 12.85, 0.67, 2.43, 0.03770945137519646
No.106: 0.81, 0.91, 0.01, 0.01, 1.54, 0.01, 1.26, 12.75, 0.69, 2.43, 0.03742234346661584
No.107: 0.81, 0.91, 0.01, 0.01, 1.54, 0.01, 1.25, 12.65, 0.71, 2.44, 0.037116225276019814
No.108: 0.81, 0.91, 0.01, 0.01, 1.53, 0.01, 1.25, 12.54, 0.73, 2.44, 0.03679621454698156
No.109: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.25, 12.44, 0.75, 2.44, 0.03650459972475073
No.110: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.24, 12.34, 0.78, 2.44, 0.03620039677789886
No.111: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.24, 12.24, 0.80, 2.44, 0.03592653662626844
No.112: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.24, 12.14, 0.82, 2.44, 0.03565469841663984
No.113: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.23, 12.04, 0.84, 2.44, 0.035359674476353305
No.114: 0.81, 0.91, 0.01, 0.01, 1.52, 0.01, 1.23, 11.94, 0.86, 2.44, 0.035094762099441706
No.115: 0.81, 0.91, 0.01, 0.01, 1.51, 0.01, 1.23, 11.84, 0.88, 2.45, 0.03482114730473148
