# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
42125 0.0221669 0.010214 0.0132404 0.0456213
42130 0.0224158 0.0100485 0.0137731 0.0462375
42135 0.0224458 0.0100432 0.0142368 0.0467258
42140 0.0222438 0.0101918 0.0145854 0.0470211
42145 0.0218149 0.0104765 0.0147917 0.0470831
42150 0.0211821 0.0108691 0.0148499 0.0469012
42155 0.0203846 0.011334 0.0147761 0.0464947
42160 0.0194738 0.0118318 0.0146046 0.0459102
42165 0.0185078 0.012322 0.0143829 0.0452127
42170 0.0175446 0.0127667 0.0141637 0.044475
42175 0.0166366 0.0131321 0.0139969 0.0437656
42180 0.0158242 0.0133918 0.0139221 0.0431381
42185 0.0151339 0.0135279 0.0139628 0.0426246
42190 0.014577 0.0135331 0.0141232 0.0422333
42195 0.0141518 0.0134117 0.0143882 0.0419516
42200 0.0138471 0.0131795 0.0147255 0.0417521
42205 0.013647 0.012863 0.0150914 0.0416015
42210 0.0135349 0.0124971 0.0154385 0.0414704
42215 0.0134953 0.012122 0.0157235 0.0413408
42220 0.0135152 0.0117793 0.0159156 0.0412101
42225 0.0135824 0.0115074 0.0160004 0.0410902
42230 0.0136837 0.0113374 0.0159821 0.0410032
42235 0.0138046 0.0112888 0.0158795 0.0409728
42240 0.0139291 0.0113666 0.0157212 0.0410169
42245 0.0140417 0.0115602 0.0155386 0.0411405
42250 0.0141305 0.0118434 0.0153596 0.0413335
42255 0.014189 0.0121785 0.0152044 0.0415719
42260 0.0142181 0.0125218 0.0150823 0.0418223
42265 0.0142257 0.0128306 0.0149918 0.0420481
42270 0.014224 0.0130699 0.0149212 0.042215
42275 0.0142263 0.0132179 0.0148508 0.042295
42280 0.0142433 0.0132679 0.0147567 0.0422679
42285 0.0142795 0.0132291 0.0146155 0.0421242
42290 0.0143333 0.0131244 0.0144089 0.0418666
42295 0.0143978 0.0129872 0.0141273 0.0415123
42300 0.0144638 0.0128569 0.0137725 0.0410931
42305 0.0145236 0.0127724 0.013358 0.040654
42310 0.0145737 0.012765 0.0129074 0.0402461
42315 0.0146153 0.0128525 0.0124505 0.0399182
42320 0.0146539 0.0130343 0.0120181 0.0397063
42325 0.0146973 0.0132927 0.0116387 0.0396287
42330 0.0147526 0.0135956 0.0113363 0.0396846
42335 0.0148246 0.0139022 0.0111287 0.0398555
42340 0.0149139 0.0141694 0.011027 0.0401103
42345 0.015017 0.0143587 0.0110355 0.0404112
42350 0.0151266 0.0144412 0.0111513 0.0407191
42355 0.0152328 0.0144009 0.0113643 0.040998
42360 0.0153244 0.0142365 0.0116581 0.0412189
42365 0.0153907 0.0139605 0.0120109 0.0413621
42370 0.0154231 0.0135975 0.0123977 0.0414184
42375 0.015416 0.0131807 0.0127927 0.0413894
42380 0.0153671 0.012747 0.013172 0.0412861
42385 0.0152777 0.0123331 0.013516 0.0411269
42390 0.0151529 0.0119703 0.0138116 0.0409348
42395 0.0150004 0.0116817 0.0140517 0.0407338
42400 0.0148291 0.0114796 0.0142349 0.0405436
42405 0.0146473 0.0113654 0.0143634 0.040376
42410 0.0144612 0.0113296 0.0144417 0.0402325
42415 0.0142743 0.0113545 0.014475 0.0401038
42420 0.0140875 0.0114171 0.0144691 0.0399736
42425 0.0139006 0.011493 0.0144302 0.0398239
42430 0.0137143 0.0115612 0.0143656 0.0396411
42435 0.0135308 0.011607 0.0142841 0.0394218
42440 0.0133546 0.0116251 0.014196 0.0391756
42445 0.0131921 0.0116193 0.0141128 0.0389242
42450 0.0130502 0.011601 0.0140463 0.0386975
42455 0.0129355 0.0115862 0.0140061 0.0385278
42460 0.0128526 0.0115924 0.0139985 0.0384435
42465 0.0128046 0.0116353 0.0140242 0.0384641
42470 0.0127921 0.0117257 0.0140779 0.0385957
42475 0.0128134 0.0118675 0.0141479 0.0388287
42480 0.0128643 0.0120563 0.0142175 0.0391381
42485 0.012938 0.0122803 0.0142672 0.0394855
42490 0.0130259 0.0125214 0.0142767 0.039824
42495 0.0131182 0.0127586 0.0142288 0.0401057
