# LAMMPS data file written by OVITO Basic 3.8.4

6832 atoms 
1944 bonds
5 atom types 
2 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
5063 1 2  0.0 0.000000 35.189998 35.189998 # core atype 2 btype 1 
5064 4 2  0.0 0.000000 35.189998 35.189998 # shell atype 2 btype 1 
5065 1 2  0.0 19.549999 15.640000 15.640000 # core atype 2 btype 1 
5066 4 2  0.0 19.549999 15.640000 15.640000 # shell atype 2 btype 1 
5067 1 2  0.0 19.549999 15.640000 35.189998 # core atype 2 btype 1 
5068 4 2  0.0 19.549999 15.640000 35.189998 # shell atype 2 btype 1 
5069 1 2  0.0 19.549999 35.189998 15.640000 # core atype 2 btype 1 
5070 4 2  0.0 19.549999 35.189998 15.640000 # shell atype 2 btype 1 
5071 1 2  0.0 19.549999 35.189998 35.189998 # core atype 2 btype 1 
5072 4 2  0.0 19.549999 35.189998 35.189998 # shell atype 2 btype 1 
5073 1 2  0.0 0.000000 15.640000 3.910000 # core atype 2 btype 1 
5074 4 2  0.0 0.000000 15.640000 3.910000 # shell atype 2 btype 1 
5075 1 2  0.0 0.000000 15.640000 23.460000 # core atype 2 btype 1 
5076 4 2  0.0 0.000000 15.640000 23.460000 # shell atype 2 btype 1 
5077 1 2  0.0 0.000000 35.189998 3.910000 # core atype 2 btype 1 
5078 4 2  0.0 0.000000 35.189998 3.910000 # shell atype 2 btype 1 
5079 1 2  0.0 0.000000 35.189998 23.460000 # core atype 2 btype 1 
5080 4 2  0.0 0.000000 35.189998 23.460000 # shell atype 2 btype 1 
5081 1 2  0.0 19.549999 15.640000 3.910000 # core atype 2 btype 1 
5082 4 2  0.0 19.549999 15.640000 3.910000 # shell atype 2 btype 1 
5083 1 2  0.0 19.549999 15.640000 23.460000 # core atype 2 btype 1 
5084 4 2  0.0 19.549999 15.640000 23.460000 # shell atype 2 btype 1 
5085 1 2  0.0 19.549999 35.189998 3.910000 # core atype 2 btype 1 
5086 4 2  0.0 19.549999 35.189998 3.910000 # shell atype 2 btype 1 
5087 1 2  0.0 19.549999 35.189998 23.460000 # core atype 2 btype 1 
5088 4 2  0.0 19.549999 35.189998 23.460000 # shell atype 2 btype 1 
5089 1 2  0.0 0.000000 3.910000 15.640000 # core atype 2 btype 1 
5090 4 2  0.0 0.000000 3.910000 15.640000 # shell atype 2 btype 1 
5091 1 2  0.0 0.000000 3.910000 35.189998 # core atype 2 btype 1 
5092 4 2  0.0 0.000000 3.910000 35.189998 # shell atype 2 btype 1 
5093 1 2  0.0 0.000000 23.460000 15.640000 # core atype 2 btype 1 
5094 4 2  0.0 0.000000 23.460000 15.640000 # shell atype 2 btype 1 
5095 1 2  0.0 0.000000 23.460000 35.189998 # core atype 2 btype 1 
5096 4 2  0.0 0.000000 23.460000 35.189998 # shell atype 2 btype 1 
5097 1 2  0.0 19.549999 3.910000 15.640000 # core atype 2 btype 1 
5098 4 2  0.0 19.549999 3.910000 15.640000 # shell atype 2 btype 1 
5099 1 2  0.0 19.549999 3.910000 35.189998 # core atype 2 btype 1 
5100 4 2  0.0 19.549999 3.910000 35.189998 # shell atype 2 btype 1 
5101 1 2  0.0 19.549999 23.460000 15.640000 # core atype 2 btype 1 
5102 4 2  0.0 19.549999 23.460000 15.640000 # shell atype 2 btype 1 
5103 1 2  0.0 19.549999 23.460000 35.189998 # core atype 2 btype 1 
5104 4 2  0.0 19.549999 23.460000 35.189998 # shell atype 2 btype 1 
5105 1 2  0.0 3.910000 0.000000 3.910000 # core atype 2 btype 1 
5106 4 2  0.0 3.910000 0.000000 3.910000 # shell atype 2 btype 1 
5107 1 2  0.0 3.910000 0.000000 23.460000 # core atype 2 btype 1 
5108 4 2  0.0 3.910000 0.000000 23.460000 # shell atype 2 btype 1 
5109 1 2  0.0 3.910000 19.549999 3.910000 # core atype 2 btype 1 
5110 4 2  0.0 3.910000 19.549999 3.910000 # shell atype 2 btype 1 
5111 1 2  0.0 3.910000 19.549999 23.460000 # core atype 2 btype 1 
5112 4 2  0.0 3.910000 19.549999 23.460000 # shell atype 2 btype 1 
5113 1 2  0.0 23.460000 0.000000 3.910000 # core atype 2 btype 1 
5114 4 2  0.0 23.460000 0.000000 3.910000 # shell atype 2 btype 1 
5115 1 2  0.0 23.460000 0.000000 23.460000 # core atype 2 btype 1 
5116 4 2  0.0 23.460000 0.000000 23.460000 # shell atype 2 btype 1 
5117 1 2  0.0 23.460000 19.549999 3.910000 # core atype 2 btype 1 
5118 4 2  0.0 23.460000 19.549999 3.910000 # shell atype 2 btype 1 
5119 1 2  0.0 23.460000 19.549999 23.460000 # core atype 2 btype 1 
5120 4 2  0.0 23.460000 19.549999 23.460000 # shell atype 2 btype 1 
5121 1 2  0.0 15.640000 0.000000 15.640000 # core atype 2 btype 1 
5122 4 2  0.0 15.640000 0.000000 15.640000 # shell atype 2 btype 1 
5123 1 2  0.0 15.640000 0.000000 35.189998 # core atype 2 btype 1 
5124 4 2  0.0 15.640000 0.000000 35.189998 # shell atype 2 btype 1 
5125 1 2  0.0 15.640000 19.549999 15.640000 # core atype 2 btype 1 
5126 4 2  0.0 15.640000 19.549999 15.640000 # shell atype 2 btype 1 
5127 1 2  0.0 15.640000 19.549999 35.189998 # core atype 2 btype 1 
5128 4 2  0.0 15.640000 19.549999 35.189998 # shell atype 2 btype 1 
5129 1 2  0.0 35.189998 0.000000 15.640000 # core atype 2 btype 1 
5130 4 2  0.0 35.189998 0.000000 15.640000 # shell atype 2 btype 1 
5131 1 2  0.0 35.189998 0.000000 35.189998 # core atype 2 btype 1 
5132 4 2  0.0 35.189998 0.000000 35.189998 # shell atype 2 btype 1 
5133 1 2  0.0 35.189998 19.549999 15.640000 # core atype 2 btype 1 
5134 4 2  0.0 35.189998 19.549999 15.640000 # shell atype 2 btype 1 
5135 1 2  0.0 35.189998 19.549999 35.189998 # core atype 2 btype 1 
5136 4 2  0.0 35.189998 19.549999 35.189998 # shell atype 2 btype 1 
5137 1 2  0.0 3.910000 0.000000 15.640000 # core atype 2 btype 1 
5138 4 2  0.0 3.910000 0.000000 15.640000 # shell atype 2 btype 1 
5139 1 2  0.0 3.910000 0.000000 35.189998 # core atype 2 btype 1 
5140 4 2  0.0 3.910000 0.000000 35.189998 # shell atype 2 btype 1 
5141 1 2  0.0 3.910000 19.549999 15.640000 # core atype 2 btype 1 
5142 4 2  0.0 3.910000 19.549999 15.640000 # shell atype 2 btype 1 
5143 1 2  0.0 3.910000 19.549999 35.189998 # core atype 2 btype 1 
5144 4 2  0.0 3.910000 19.549999 35.189998 # shell atype 2 btype 1 
5145 1 2  0.0 23.460000 0.000000 15.640000 # core atype 2 btype 1 
5146 4 2  0.0 23.460000 0.000000 15.640000 # shell atype 2 btype 1 
5147 1 2  0.0 23.460000 0.000000 35.189998 # core atype 2 btype 1 
5148 4 2  0.0 23.460000 0.000000 35.189998 # shell atype 2 btype 1 
5149 1 2  0.0 23.460000 19.549999 15.640000 # core atype 2 btype 1 
5150 4 2  0.0 23.460000 19.549999 15.640000 # shell atype 2 btype 1 
5151 1 2  0.0 23.460000 19.549999 35.189998 # core atype 2 btype 1 
5152 4 2  0.0 23.460000 19.549999 35.189998 # shell atype 2 btype 1 
5153 1 2  0.0 15.640000 0.000000 3.910000 # core atype 2 btype 1 
5154 4 2  0.0 15.640000 0.000000 3.910000 # shell atype 2 btype 1 
5155 1 2  0.0 15.640000 0.000000 23.460000 # core atype 2 btype 1 
5156 4 2  0.0 15.640000 0.000000 23.460000 # shell atype 2 btype 1 
5157 1 2  0.0 15.640000 19.549999 3.910000 # core atype 2 btype 1 
5158 4 2  0.0 15.640000 19.549999 3.910000 # shell atype 2 btype 1 
5159 1 2  0.0 15.640000 19.549999 23.460000 # core atype 2 btype 1 
5160 4 2  0.0 15.640000 19.549999 23.460000 # shell atype 2 btype 1 
5161 1 2  0.0 35.189998 0.000000 3.910000 # core atype 2 btype 1 
5162 4 2  0.0 35.189998 0.000000 3.910000 # shell atype 2 btype 1 
5163 1 2  0.0 35.189998 0.000000 23.460000 # core atype 2 btype 1 
5164 4 2  0.0 35.189998 0.000000 23.460000 # shell atype 2 btype 1 
5165 1 2  0.0 35.189998 19.549999 3.910000 # core atype 2 btype 1 
5166 4 2  0.0 35.189998 19.549999 3.910000 # shell atype 2 btype 1 
5167 1 2  0.0 35.189998 19.549999 23.460000 # core atype 2 btype 1 
5168 4 2  0.0 35.189998 19.549999 23.460000 # shell atype 2 btype 1 
5169 1 2  0.0 3.910000 3.910000 0.000000 # core atype 2 btype 1 
5170 4 2  0.0 3.910000 3.910000 0.000000 # shell atype 2 btype 1 
5171 1 2  0.0 3.910000 3.910000 19.549999 # core atype 2 btype 1 
5172 4 2  0.0 3.910000 3.910000 19.549999 # shell atype 2 btype 1 
5173 1 2  0.0 3.910000 23.460000 0.000000 # core atype 2 btype 1 
5174 4 2  0.0 3.910000 23.460000 0.000000 # shell atype 2 btype 1 
5175 1 2  0.0 3.910000 23.460000 19.549999 # core atype 2 btype 1 
5176 4 2  0.0 3.910000 23.460000 19.549999 # shell atype 2 btype 1 
5177 1 2  0.0 23.460000 3.910000 0.000000 # core atype 2 btype 1 
5178 4 2  0.0 23.460000 3.910000 0.000000 # shell atype 2 btype 1 
5179 1 2  0.0 23.460000 3.910000 19.549999 # core atype 2 btype 1 
5180 4 2  0.0 23.460000 3.910000 19.549999 # shell atype 2 btype 1 
5181 1 2  0.0 23.460000 23.460000 0.000000 # core atype 2 btype 1 
5182 4 2  0.0 23.460000 23.460000 0.000000 # shell atype 2 btype 1 
5183 1 2  0.0 23.460000 23.460000 19.549999 # core atype 2 btype 1 
5184 4 2  0.0 23.460000 23.460000 19.549999 # shell atype 2 btype 1 
5185 1 2  0.0 15.640000 15.640000 0.000000 # core atype 2 btype 1 
5186 4 2  0.0 15.640000 15.640000 0.000000 # shell atype 2 btype 1 
5187 1 2  0.0 15.640000 15.640000 19.549999 # core atype 2 btype 1 
5188 4 2  0.0 15.640000 15.640000 19.549999 # shell atype 2 btype 1 
5189 1 2  0.0 15.640000 35.189998 0.000000 # core atype 2 btype 1 
5190 4 2  0.0 15.640000 35.189998 0.000000 # shell atype 2 btype 1 
5191 1 2  0.0 15.640000 35.189998 19.549999 # core atype 2 btype 1 
5192 4 2  0.0 15.640000 35.189998 19.549999 # shell atype 2 btype 1 
5193 1 2  0.0 35.189998 15.640000 0.000000 # core atype 2 btype 1 
5194 4 2  0.0 35.189998 15.640000 0.000000 # shell atype 2 btype 1 
5195 1 2  0.0 35.189998 15.640000 19.549999 # core atype 2 btype 1 
5196 4 2  0.0 35.189998 15.640000 19.549999 # shell atype 2 btype 1 
5197 1 2  0.0 35.189998 35.189998 0.000000 # core atype 2 btype 1 
5198 4 2  0.0 35.189998 35.189998 0.000000 # shell atype 2 btype 1 
5199 1 2  0.0 35.189998 35.189998 19.549999 # core atype 2 btype 1 
5200 4 2  0.0 35.189998 35.189998 19.549999 # shell atype 2 btype 1 
5201 1 2  0.0 15.640000 3.910000 0.000000 # core atype 2 btype 1 
5202 4 2  0.0 15.640000 3.910000 0.000000 # shell atype 2 btype 1 
5203 1 2  0.0 15.640000 3.910000 19.549999 # core atype 2 btype 1 
5204 4 2  0.0 15.640000 3.910000 19.549999 # shell atype 2 btype 1 
5205 1 2  0.0 15.640000 23.460000 0.000000 # core atype 2 btype 1 
5206 4 2  0.0 15.640000 23.460000 0.000000 # shell atype 2 btype 1 
5207 1 2  0.0 15.640000 23.460000 19.549999 # core atype 2 btype 1 
5208 4 2  0.0 15.640000 23.460000 19.549999 # shell atype 2 btype 1 
5209 1 2  0.0 35.189998 3.910000 0.000000 # core atype 2 btype 1 
5210 4 2  0.0 35.189998 3.910000 0.000000 # shell atype 2 btype 1 
5211 1 2  0.0 35.189998 3.910000 19.549999 # core atype 2 btype 1 
5212 4 2  0.0 35.189998 3.910000 19.549999 # shell atype 2 btype 1 
5213 1 2  0.0 35.189998 23.460000 0.000000 # core atype 2 btype 1 
5214 4 2  0.0 35.189998 23.460000 0.000000 # shell atype 2 btype 1 
5215 1 2  0.0 35.189998 23.460000 19.549999 # core atype 2 btype 1 
5216 4 2  0.0 35.189998 23.460000 19.549999 # shell atype 2 btype 1 
5217 1 2  0.0 3.910000 15.640000 0.000000 # core atype 2 btype 1 
5218 4 2  0.0 3.910000 15.640000 0.000000 # shell atype 2 btype 1 
5219 1 2  0.0 3.910000 15.640000 19.549999 # core atype 2 btype 1 
5220 4 2  0.0 3.910000 15.640000 19.549999 # shell atype 2 btype 1 
5221 1 2  0.0 3.910000 35.189998 0.000000 # core atype 2 btype 1 
5222 4 2  0.0 3.910000 35.189998 0.000000 # shell atype 2 btype 1 
5223 1 2  0.0 3.910000 35.189998 19.549999 # core atype 2 btype 1 
5224 4 2  0.0 3.910000 35.189998 19.549999 # shell atype 2 btype 1 
5225 1 2  0.0 23.460000 15.640000 0.000000 # core atype 2 btype 1 
5226 4 2  0.0 23.460000 15.640000 0.000000 # shell atype 2 btype 1 
5227 1 2  0.0 23.460000 15.640000 19.549999 # core atype 2 btype 1 
5228 4 2  0.0 23.460000 15.640000 19.549999 # shell atype 2 btype 1 
5229 1 2  0.0 23.460000 35.189998 0.000000 # core atype 2 btype 1 
5230 4 2  0.0 23.460000 35.189998 0.000000 # shell atype 2 btype 1 
5231 1 2  0.0 23.460000 35.189998 19.549999 # core atype 2 btype 1 
5232 4 2  0.0 23.460000 35.189998 19.549999 # shell atype 2 btype 1 
5233 1 2  0.0 0.000000 3.910000 7.820000 # core atype 2 btype 1 
5234 4 2  0.0 0.000000 3.910000 7.820000 # shell atype 2 btype 1 
5235 1 2  0.0 0.000000 3.910000 27.369998 # core atype 2 btype 1 
5236 4 2  0.0 0.000000 3.910000 27.369998 # shell atype 2 btype 1 
5237 1 2  0.0 0.000000 23.460000 7.820000 # core atype 2 btype 1 
5238 4 2  0.0 0.000000 23.460000 7.820000 # shell atype 2 btype 1 
5239 1 2  0.0 0.000000 23.460000 27.369998 # core atype 2 btype 1 
5240 4 2  0.0 0.000000 23.460000 27.369998 # shell atype 2 btype 1 
5241 1 2  0.0 19.549999 3.910000 7.820000 # core atype 2 btype 1 
5242 4 2  0.0 19.549999 3.910000 7.820000 # shell atype 2 btype 1 
5243 1 2  0.0 19.549999 3.910000 27.369998 # core atype 2 btype 1 
5244 4 2  0.0 19.549999 3.910000 27.369998 # shell atype 2 btype 1 
5245 1 2  0.0 19.549999 23.460000 7.820000 # core atype 2 btype 1 
5246 4 2  0.0 19.549999 23.460000 7.820000 # shell atype 2 btype 1 
5247 1 2  0.0 19.549999 23.460000 27.369998 # core atype 2 btype 1 
5248 4 2  0.0 19.549999 23.460000 27.369998 # shell atype 2 btype 1 
5249 1 2  0.0 0.000000 15.640000 11.730000 # core atype 2 btype 1 
5250 4 2  0.0 0.000000 15.640000 11.730000 # shell atype 2 btype 1 
5251 1 2  0.0 0.000000 15.640000 31.279999 # core atype 2 btype 1 
5252 4 2  0.0 0.000000 15.640000 31.279999 # shell atype 2 btype 1 
5253 1 2  0.0 0.000000 35.189998 11.730000 # core atype 2 btype 1 
5254 4 2  0.0 0.000000 35.189998 11.730000 # shell atype 2 btype 1 
5255 1 2  0.0 0.000000 35.189998 31.279999 # core atype 2 btype 1 
5256 4 2  0.0 0.000000 35.189998 31.279999 # shell atype 2 btype 1 
5257 1 2  0.0 19.549999 15.640000 11.730000 # core atype 2 btype 1 
5258 4 2  0.0 19.549999 15.640000 11.730000 # shell atype 2 btype 1 
5259 1 2  0.0 19.549999 15.640000 31.279999 # core atype 2 btype 1 
5260 4 2  0.0 19.549999 15.640000 31.279999 # shell atype 2 btype 1 
5261 1 2  0.0 19.549999 35.189998 11.730000 # core atype 2 btype 1 
5262 4 2  0.0 19.549999 35.189998 11.730000 # shell atype 2 btype 1 
5263 1 2  0.0 19.549999 35.189998 31.279999 # core atype 2 btype 1 
5264 4 2  0.0 19.549999 35.189998 31.279999 # shell atype 2 btype 1 
5265 1 2  0.0 0.000000 15.640000 7.820000 # core atype 2 btype 1 
5266 4 2  0.0 0.000000 15.640000 7.820000 # shell atype 2 btype 1 
5267 1 2  0.0 0.000000 15.640000 27.369998 # core atype 2 btype 1 
5268 4 2  0.0 0.000000 15.640000 27.369998 # shell atype 2 btype 1 
5269 1 2  0.0 0.000000 35.189998 7.820000 # core atype 2 btype 1 
5270 4 2  0.0 0.000000 35.189998 7.820000 # shell atype 2 btype 1 
5271 1 2  0.0 0.000000 35.189998 27.369998 # core atype 2 btype 1 
5272 4 2  0.0 0.000000 35.189998 27.369998 # shell atype 2 btype 1 
5273 1 2  0.0 19.549999 15.640000 7.820000 # core atype 2 btype 1 
5274 4 2  0.0 19.549999 15.640000 7.820000 # shell atype 2 btype 1 
5275 1 2  0.0 19.549999 15.640000 27.369998 # core atype 2 btype 1 
5276 4 2  0.0 19.549999 15.640000 27.369998 # shell atype 2 btype 1 
5277 1 2  0.0 19.549999 35.189998 7.820000 # core atype 2 btype 1 
5278 4 2  0.0 19.549999 35.189998 7.820000 # shell atype 2 btype 1 
5279 1 2  0.0 19.549999 35.189998 27.369998 # core atype 2 btype 1 
5280 4 2  0.0 19.549999 35.189998 27.369998 # shell atype 2 btype 1 
5281 1 2  0.0 0.000000 3.910000 11.730000 # core atype 2 btype 1 
5282 4 2  0.0 0.000000 3.910000 11.730000 # shell atype 2 btype 1 
5283 1 2  0.0 0.000000 3.910000 31.279999 # core atype 2 btype 1 
5284 4 2  0.0 0.000000 3.910000 31.279999 # shell atype 2 btype 1 
5285 1 2  0.0 0.000000 23.460000 11.730000 # core atype 2 btype 1 
5286 4 2  0.0 0.000000 23.460000 11.730000 # shell atype 2 btype 1 
5287 1 2  0.0 0.000000 23.460000 31.279999 # core atype 2 btype 1 
5288 4 2  0.0 0.000000 23.460000 31.279999 # shell atype 2 btype 1 
5289 1 2  0.0 19.549999 3.910000 11.730000 # core atype 2 btype 1 
5290 4 2  0.0 19.549999 3.910000 11.730000 # shell atype 2 btype 1 
5291 1 2  0.0 19.549999 3.910000 31.279999 # core atype 2 btype 1 
5292 4 2  0.0 19.549999 3.910000 31.279999 # shell atype 2 btype 1 
5293 1 2  0.0 19.549999 23.460000 11.730000 # core atype 2 btype 1 
5294 4 2  0.0 19.549999 23.460000 11.730000 # shell atype 2 btype 1 
5295 1 2  0.0 19.549999 23.460000 31.279999 # core atype 2 btype 1 
5296 4 2  0.0 19.549999 23.460000 31.279999 # shell atype 2 btype 1 
5297 1 2  0.0 7.820000 0.000000 3.910000 # core atype 2 btype 1 
5298 4 2  0.0 7.820000 0.000000 3.910000 # shell atype 2 btype 1 
5299 1 2  0.0 7.820000 0.000000 23.460000 # core atype 2 btype 1 
5300 4 2  0.0 7.820000 0.000000 23.460000 # shell atype 2 btype 1 
5301 1 2  0.0 7.820000 19.549999 3.910000 # core atype 2 btype 1 
5302 4 2  0.0 7.820000 19.549999 3.910000 # shell atype 2 btype 1 
5303 1 2  0.0 7.820000 19.549999 23.460000 # core atype 2 btype 1 
5304 4 2  0.0 7.820000 19.549999 23.460000 # shell atype 2 btype 1 
5305 1 2  0.0 27.369998 0.000000 3.910000 # core atype 2 btype 1 
5306 4 2  0.0 27.369998 0.000000 3.910000 # shell atype 2 btype 1 
5307 1 2  0.0 27.369998 0.000000 23.460000 # core atype 2 btype 1 
5308 4 2  0.0 27.369998 0.000000 23.460000 # shell atype 2 btype 1 
5309 1 2  0.0 27.369998 19.549999 3.910000 # core atype 2 btype 1 
5310 4 2  0.0 27.369998 19.549999 3.910000 # shell atype 2 btype 1 
5311 1 2  0.0 27.369998 19.549999 23.460000 # core atype 2 btype 1 
5312 4 2  0.0 27.369998 19.549999 23.460000 # shell atype 2 btype 1 
5313 1 2  0.0 11.730000 0.000000 15.640000 # core atype 2 btype 1 
5314 4 2  0.0 11.730000 0.000000 15.640000 # shell atype 2 btype 1 
5315 1 2  0.0 11.730000 0.000000 35.189998 # core atype 2 btype 1 
5316 4 2  0.0 11.730000 0.000000 35.189998 # shell atype 2 btype 1 
5317 1 2  0.0 11.730000 19.549999 15.640000 # core atype 2 btype 1 
5318 4 2  0.0 11.730000 19.549999 15.640000 # shell atype 2 btype 1 
5319 1 2  0.0 11.730000 19.549999 35.189998 # core atype 2 btype 1 
5320 4 2  0.0 11.730000 19.549999 35.189998 # shell atype 2 btype 1 
5321 1 2  0.0 31.279999 0.000000 15.640000 # core atype 2 btype 1 
5322 4 2  0.0 31.279999 0.000000 15.640000 # shell atype 2 btype 1 
5323 1 2  0.0 31.279999 0.000000 35.189998 # core atype 2 btype 1 
5324 4 2  0.0 31.279999 0.000000 35.189998 # shell atype 2 btype 1 
5325 1 2  0.0 31.279999 19.549999 15.640000 # core atype 2 btype 1 
5326 4 2  0.0 31.279999 19.549999 15.640000 # shell atype 2 btype 1 
5327 1 2  0.0 31.279999 19.549999 35.189998 # core atype 2 btype 1 
5328 4 2  0.0 31.279999 19.549999 35.189998 # shell atype 2 btype 1 
5329 1 2  0.0 7.820000 0.000000 15.640000 # core atype 2 btype 1 
5330 4 2  0.0 7.820000 0.000000 15.640000 # shell atype 2 btype 1 
5331 1 2  0.0 7.820000 0.000000 35.189998 # core atype 2 btype 1 
5332 4 2  0.0 7.820000 0.000000 35.189998 # shell atype 2 btype 1 
5333 1 2  0.0 7.820000 19.549999 15.640000 # core atype 2 btype 1 
5334 4 2  0.0 7.820000 19.549999 15.640000 # shell atype 2 btype 1 
5335 1 2  0.0 7.820000 19.549999 35.189998 # core atype 2 btype 1 
5336 4 2  0.0 7.820000 19.549999 35.189998 # shell atype 2 btype 1 
5337 1 2  0.0 27.369998 0.000000 15.640000 # core atype 2 btype 1 
5338 4 2  0.0 27.369998 0.000000 15.640000 # shell atype 2 btype 1 
5339 1 2  0.0 27.369998 0.000000 35.189998 # core atype 2 btype 1 
5340 4 2  0.0 27.369998 0.000000 35.189998 # shell atype 2 btype 1 
5341 1 2  0.0 27.369998 19.549999 15.640000 # core atype 2 btype 1 
5342 4 2  0.0 27.369998 19.549999 15.640000 # shell atype 2 btype 1 
5343 1 2  0.0 27.369998 19.549999 35.189998 # core atype 2 btype 1 
5344 4 2  0.0 27.369998 19.549999 35.189998 # shell atype 2 btype 1 
5345 1 2  0.0 11.730000 0.000000 3.910000 # core atype 2 btype 1 
5346 4 2  0.0 11.730000 0.000000 3.910000 # shell atype 2 btype 1 
5347 1 2  0.0 11.730000 0.000000 23.460000 # core atype 2 btype 1 
5348 4 2  0.0 11.730000 0.000000 23.460000 # shell atype 2 btype 1 
5349 1 2  0.0 11.730000 19.549999 3.910000 # core atype 2 btype 1 
5350 4 2  0.0 11.730000 19.549999 3.910000 # shell atype 2 btype 1 
5351 1 2  0.0 11.730000 19.549999 23.460000 # core atype 2 btype 1 
5352 4 2  0.0 11.730000 19.549999 23.460000 # shell atype 2 btype 1 
5353 1 2  0.0 31.279999 0.000000 3.910000 # core atype 2 btype 1 
5354 4 2  0.0 31.279999 0.000000 3.910000 # shell atype 2 btype 1 
5355 1 2  0.0 31.279999 0.000000 23.460000 # core atype 2 btype 1 
5356 4 2  0.0 31.279999 0.000000 23.460000 # shell atype 2 btype 1 
5357 1 2  0.0 31.279999 19.549999 3.910000 # core atype 2 btype 1 
5358 4 2  0.0 31.279999 19.549999 3.910000 # shell atype 2 btype 1 
5359 1 2  0.0 31.279999 19.549999 23.460000 # core atype 2 btype 1 
5360 4 2  0.0 31.279999 19.549999 23.460000 # shell atype 2 btype 1 
5361 1 2  0.0 3.910000 7.820000 0.000000 # core atype 2 btype 1 
5362 4 2  0.0 3.910000 7.820000 0.000000 # shell atype 2 btype 1 
5363 1 2  0.0 3.910000 7.820000 19.549999 # core atype 2 btype 1 
5364 4 2  0.0 3.910000 7.820000 19.549999 # shell atype 2 btype 1 
5365 1 2  0.0 3.910000 27.369998 0.000000 # core atype 2 btype 1 
5366 4 2  0.0 3.910000 27.369998 0.000000 # shell atype 2 btype 1 
5367 1 2  0.0 3.910000 27.369998 19.549999 # core atype 2 btype 1 
5368 4 2  0.0 3.910000 27.369998 19.549999 # shell atype 2 btype 1 
5369 1 2  0.0 23.460000 7.820000 0.000000 # core atype 2 btype 1 
5370 4 2  0.0 23.460000 7.820000 0.000000 # shell atype 2 btype 1 
5371 1 2  0.0 23.460000 7.820000 19.549999 # core atype 2 btype 1 
5372 4 2  0.0 23.460000 7.820000 19.549999 # shell atype 2 btype 1 
5373 1 2  0.0 23.460000 27.369998 0.000000 # core atype 2 btype 1 
5374 4 2  0.0 23.460000 27.369998 0.000000 # shell atype 2 btype 1 
5375 1 2  0.0 23.460000 27.369998 19.549999 # core atype 2 btype 1 
5376 4 2  0.0 23.460000 27.369998 19.549999 # shell atype 2 btype 1 
5377 1 2  0.0 15.640000 11.730000 0.000000 # core atype 2 btype 1 
5378 4 2  0.0 15.640000 11.730000 0.000000 # shell atype 2 btype 1 
5379 1 2  0.0 15.640000 11.730000 19.549999 # core atype 2 btype 1 
5380 4 2  0.0 15.640000 11.730000 19.549999 # shell atype 2 btype 1 
5381 1 2  0.0 15.640000 31.279999 0.000000 # core atype 2 btype 1 
5382 4 2  0.0 15.640000 31.279999 0.000000 # shell atype 2 btype 1 
5383 1 2  0.0 15.640000 31.279999 19.549999 # core atype 2 btype 1 
5384 4 2  0.0 15.640000 31.279999 19.549999 # shell atype 2 btype 1 
5385 1 2  0.0 35.189998 11.730000 0.000000 # core atype 2 btype 1 
5386 4 2  0.0 35.189998 11.730000 0.000000 # shell atype 2 btype 1 
5387 1 2  0.0 35.189998 11.730000 19.549999 # core atype 2 btype 1 
5388 4 2  0.0 35.189998 11.730000 19.549999 # shell atype 2 btype 1 
5389 1 2  0.0 35.189998 31.279999 0.000000 # core atype 2 btype 1 
5390 4 2  0.0 35.189998 31.279999 0.000000 # shell atype 2 btype 1 
5391 1 2  0.0 35.189998 31.279999 19.549999 # core atype 2 btype 1 
5392 4 2  0.0 35.189998 31.279999 19.549999 # shell atype 2 btype 1 
5393 1 2  0.0 15.640000 7.820000 0.000000 # core atype 2 btype 1 
5394 4 2  0.0 15.640000 7.820000 0.000000 # shell atype 2 btype 1 
5395 1 2  0.0 15.640000 7.820000 19.549999 # core atype 2 btype 1 
5396 4 2  0.0 15.640000 7.820000 19.549999 # shell atype 2 btype 1 
5397 1 2  0.0 15.640000 27.369998 0.000000 # core atype 2 btype 1 
5398 4 2  0.0 15.640000 27.369998 0.000000 # shell atype 2 btype 1 
5399 1 2  0.0 15.640000 27.369998 19.549999 # core atype 2 btype 1 
5400 4 2  0.0 15.640000 27.369998 19.549999 # shell atype 2 btype 1 
5401 1 2  0.0 35.189998 7.820000 0.000000 # core atype 2 btype 1 
5402 4 2  0.0 35.189998 7.820000 0.000000 # shell atype 2 btype 1 
5403 1 2  0.0 35.189998 7.820000 19.549999 # core atype 2 btype 1 
5404 4 2  0.0 35.189998 7.820000 19.549999 # shell atype 2 btype 1 
5405 1 2  0.0 35.189998 27.369998 0.000000 # core atype 2 btype 1 
5406 4 2  0.0 35.189998 27.369998 0.000000 # shell atype 2 btype 1 
5407 1 2  0.0 35.189998 27.369998 19.549999 # core atype 2 btype 1 
5408 4 2  0.0 35.189998 27.369998 19.549999 # shell atype 2 btype 1 
5409 1 2  0.0 3.910000 11.730000 0.000000 # core atype 2 btype 1 
5410 4 2  0.0 3.910000 11.730000 0.000000 # shell atype 2 btype 1 
5411 1 2  0.0 3.910000 11.730000 19.549999 # core atype 2 btype 1 
5412 4 2  0.0 3.910000 11.730000 19.549999 # shell atype 2 btype 1 
5413 1 2  0.0 3.910000 31.279999 0.000000 # core atype 2 btype 1 
