################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2161023897373315E-01 a       342     0    18     1     2
 -6.9020160153365775E-02 a       343     0    18     1     3
  2.7404965739248899E-01 a       344     0    18     1     4
 -2.9591676742556101E-02 a       345     0    18     1     5
 -1.8252198871004424E-01 a       346     0    18     1     6
 -1.3162636877723315E+00 a       347     0    18     1     7
  1.7201114510274607E-01 a       348     0    18     1     8
 -2.2359286091830236E-01 a       349     0    18     1     9
  5.7335214949806645E-01 a       350     0    18     1    10
  2.6380787510719123E-01 a       351     0    18     1    11
 -1.9149705576474541E-01 a       352     0    18     1    12
 -7.7995712896118963E-01 a       353     0    18     1    13
 -1.0083111031650041E-01 a       354     0    18     1    14
 -9.0756515060321574E-01 a       355     0    18     1    15
 -3.1293881424968895E-01 a       356     0    18     1    16
  1.1861735640428315E+00 a       357     0    18     1    17
  6.4933423107450061E-01 a       358     0    18     1    18
 -1.2881381050261493E+00 a       359     0    18     1    19
 -3.7905271107237620E-01 a       360     0    18     1    20
  1.1039017231377921E+00 a       361     0    19     1     1
 -6.6646129259748832E-01 a       362     0    19     1     2
 -9.9479233108609760E-02 a       363     0    19     1     3
  9.1682695726329555E-01 a       364     0    19     1     4
  9.1778617572884513E-01 a       365     0    19     1     5
 -2.2800837399899546E-01 a       366     0    19     1     6
 -1.0256324072345055E+00 a       367     0    19     1     7
 -1.1851683757994200E-01 a       368     0    19     1     8
  1.7614766610220742E-01 a       369     0    19     1     9
 -1.1850731162359246E-01 a       370     0    19     1    10
 -6.6427618299817831E-02 a       371     0    19     1    11
 -3.6253533579228409E-01 a       372     0    19     1    12
 -5.7106653263602414E-01 a       373     0    19     1    13
  2.6759073780732601E-01 a       374     0    19     1    14
 -4.9309888517453848E-01 a       375     0    19     1    15
  1.1845467359123910E-01 a       376     0    19     1    16
  5.6667407154181415E-01 a       377     0    19     1    17
  4.3063625666118238E-01 a       378     0    19     1    18
  4.0608301736484209E-01 a       379     0    19     1    19
 -2.2163033104862902E-02 a       380     0    19     1    20
  1.7986024276786972E-01 a       381     0    20     1     1
 -6.5012296639878075E-01 a       382     0    20     1     2
 -5.7820979253210315E-02 a       383     0    20     1     3
  7.8530030551073160E-01 a       384     0    20     1     4
  8.0511894601949618E-01 a       385     0    20     1     5
  1.0075566216353633E-01 a       386     0    20     1     6
 -6.8092749284138943E-01 a       387     0    20     1     7
 -1.2791092745875001E-02 a       388     0    20     1     8
 -4.2812347496078922E-02 a       389     0    20     1     9
  8.5105011684908832E-02 a       390     0    20     1    10
 -4.1993971814780949E-02 a       391     0    20     1    11
 -1.0610566467121568E-01 a       392     0    20     1    12
 -6.6267947865858573E-02 a       393     0    20     1    13
  6.2795849600841835E-01 a       394     0    20     1    14
 -5.9249863051394847E-01 a       395     0    20     1    15
  3.7945346646556827E-01 a       396     0    20     1    16
  3.3029528321411317E-01 a       397     0    20     1    17
  9.0819899844748711E-02 a       398     0    20     1    18
  9.0059887746975986E-01 a       399     0    20     1    19
  9.4490883085638661E-02 a       400     0    20     1    20
  1.2817830378445141E-01 a       401     0    21     1     1
 -2.6510988497193994E-01 a       402     0    21     1     2
 -2.6876222324838017E-01 a       403     0    21     1     3
  6.4072066665950367E-01 a       404     0    21     1     4
  4.4940433613126068E-01 a       405     0    21     1     5
  2.8460683472168863E-01 a       406     0    21     1     6
  3.4933524011724143E-02 a       407     0    21     1     7
  1.3529255669453180E-01 a       408     0    21     1     8
  4.7597727625395425E-01 a       409     0    21     1     9
  2.8105903897192158E-01 a       410     0    21     1    10
  1.2011195740749345E-01 a       411     0    21     1    11
  1.4646745851338791E-01 a       412     0    21     1    12
  6.4681913656557999E-01 a       413     0    21     1    13
 -1.2374792107056578E+00 a       414     0    21     1    14
 -6.6022310941831552E-01 a       415     0    21     1    15
 -1.9964443260019251E-02 a       416     0    21     1    16
 -3.1415102901742759E-01 a       417     0    21     1    17
  8.5032233789023012E-02 a       418     0    21     1    18
  1.1836112010904745E+00 a       419     0    21     1    19
  1.9006657707027372E-01 a       420     0    21     1    20
  3.1702930163961696E-01 a       421     0    22     1     1
 -2.7499169700230465E-03 a       422     0    22     1     2
  5.9250012354448267E-01 a       423     0    22     1     3
 -1.5612919313815090E+00 a       424     0    22     1     4
 -9.9021416439623799E-01 a       425     0    22     1     5
 -1.6850524680251684E+00 a       426     0    22     1     6
  1.0998494795596729E+00 a       427     0    22     1     7
 -2.1647966628808385E-01 a       428     0    22     1     8
 -5.5645183541469745E-01 a       429     0    22     1     9
 -1.0172722644955619E+00 a       430     0    22     1    10
  3.3882265927584737E-01 a       431     0    22     1    11
  1.0032242914373468E-01 a       432     0    22     1    12
 -9.6560194196125004E-01 a       433     0    22     1    13
  1.3304512978399770E+00 a       434     0    22     1    14
  2.3740824214402015E-01 a       435     0    22     1    15
  2.5132128338395909E-01 a       436     0    22     1    16
  1.0815840516095503E+00 a       437     0    22     1    17
  1.3464612077818358E-02 a       438     0    22     1    18
 -7.6197413415644200E-01 a       439     0    22     1    19
 -6.1184480251840978E-02 a       440     0    22     1    20
  8.1349384919233181E-01 a       441     0    23     1     1
 -2.2198068323505882E+00 a       442     0    23     1     2
  5.2717459863343830E-01 a       443     0    23     1     3
  8.7819785364984726E-01 a       444     0    23     1     4
 -1.3380457949364546E+00 a       445     0    23     1     5
  3.9502056793398883E+00 a       446     0    23     1     6
 -2.5615790010514159E+00 a       447     0    23     1     7
  2.2023657655209836E-01 a       448     0    23     1     8
 -2.3464937517236534E-01 a       449     0    23     1     9
  6.0874274129834860E-01 a       450     0    23     1    10
  8.9694028171706597E-01 a       451     0    23     1    11
 -1.4183950134292826E+00 a       452     0    23     1    12
 -1.7205244864875449E+00 a       453     0    23     1    13
 -1.2710311691714618E-01 a       454     0    23     1    14
 -1.5425280334513272E+00 a       455     0    23     1    15
 -1.7109824820897646E+00 a       456     0    23     1    16
 -7.9135042120659915E-01 a       457     0    23     1    17
  9.9637447494079256E-01 a       458     0    23     1    18
  1.2470249313119530E+00 a       459     0    23     1    19
  1.0597928572391595E+00 a       460     0    23     1    20
  1.4062746497191829E+00 a       461     0    24     1     1
 -1.8709652824901696E-01 a       462     0    24     1     2
  4.6615522970411155E-01 a       463     0    24     1     3
  6.7948160536219948E-01 a       464     0    24     1     4
  1.0372419543952975E+00 a       465     0    24     1     5
 -1.7228775568513086E+00 a       466     0    24     1     6
  8.1134432804065393E-01 a       467     0    24     1     7
  2.0762490151754701E-01 a       468     0    24     1     8
 -2.2037727740111734E-01 a       469     0    24     1     9
 -8.9722946192843367E-01 a       470     0    24     1    10
 -3.1157876157560976E-01 a       471     0    24     1    11
  8.5923714506005522E-01 a       472     0    24     1    12
 -5.9551934830396713E-01 a       473     0    24     1    13
 -2.7304864541213547E-01 a       474     0    24     1    14
  6.1248729995266393E-01 a       475     0    24     1    15
  9.6288104917975015E-01 a       476     0    24     1    16
  4.6896191863295938E-01 a       477     0    24     1    17
  1.7582744366867259E-01 a       478     0    24     1    18
  2.8132743623843720E-01 a       479     0    24     1    19
  5.2825700621234584E-01 a       480     0    24     1    20
  4.7319594793719566E-01 a       481     0    25     1     1
 -6.9632556610565455E-01 a       482     0    25     1     2
  2.1348427285502458E+00 a       483     0    25     1     3
 -1.5218364065556014E-01 a       484     0    25     1     4
  1.0230202203308307E+00 a       485     0    25     1     5
 -1.1710580232307641E+00 a       486     0    25     1     6
  7.6772263333967816E-01 a       487     0    25     1     7
 -7.2937342943833960E-01 a       488     0    25     1     8
 -3.2145781759350858E-02 a       489     0    25     1     9
 -1.7442114308139933E+00 a       490     0    25     1    10
 -9.7891381882807660E-01 a       491     0    25     1    11
  1.5047581479001833E+00 a       492     0    25     1    12
 -1.2783386512496611E+00 a       493     0    25     1    13
  2.0031122405146458E+00 a       494     0    25     1    14
  1.3672914362762063E+00 a       495     0    25     1    15
  1.3376795197963312E+00 a       496     0    25     1    16
  8.1533137771231956E-01 a       497     0    25     1    17
 -1.1073467343906205E+00 a       498     0    25     1    18
  1.2894693271715807E+00 a       499     0    25     1    19
  1.2204066198291461E+00 a       500     0    25     1    20
 -8.5124489034486572E-01 a       501     0    26     1     1
 -3.4244991925176393E-01 a       502     0    26     1     2
  4.6141615495993571E-01 a       503     0    26     1     3
  6.2659605536912499E-01 a       504     0    26     1     4
  1.1394665410425153E+00 a       505     0    26     1     5
  1.4736204622075305E-01 a       506     0    26     1     6
  8.5243650906448054E-01 a       507     0    26     1     7
 -8.7617835538172140E-01 a       508     0    26     1     8
  2.4447045070173049E-01 a       509     0    26     1     9
 -1.5184394993863186E+00 a       510     0    26     1    10
 -1.0385022683571765E+00 a       511     0    26     1    11
  4.6787834133313139E-01 a       512     0    26     1    12
  4.4915671064350587E-01 a       513     0    26     1    13
  5.3995769792829940E-01 a       514     0    26     1    14
  1.2815232168883313E+00 a       515     0    26     1    15
  4.0606257690915498E-01 a       516     0    26     1    16
 -1.3161151549452599E+00 a       517     0    26     1    17
 -6.7851878829745493E-01 a       518     0    26     1    18
  1.5880154829262152E+00 a       519     0    26     1    19
  2.5170638530089745E-01 a       520     0    26     1    20
 -8.3401851563850671E-01 a       521     0    27     1     1
