Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Te, -54.94678497, Te_pbe_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, -0.00, 0.00
Th, -1096.72375919, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 0.05, 0.24
Ti, -223.74743470, ti_pbe_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, 0.00, 0.12
Tl, -284.70521910, Tl_pbe_v1.2.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, -1.07, 1.10
Tm, -1389.79837951, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, 1.57, 1.65
U, -1209.66215524, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, 0.03, 0.15
V, -271.53928609, v_pbe_v1.4.uspp.F.UPF, 35, 280, 13.00, GBRV-1.4, 0.96, 1.02
W, -158.44179402, W_pbe_v1.2.uspp.F.UPF, 30, 240, 14.00, GBRV-1.2, -1.98, 3.46
Xe, -478.40976330, Xe_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 18.00, SG15-1.1, -0.00, 0.00
Yb, -1500.04520190, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, 0.00, 0.58
Y, -186.22698422, Y_pbe_v1.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.02, 0.02
Zn, -752.59404738, Zn_pbe_v1.uspp.F.UPF, 40, 320, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -217.18413178, Zr_pbe_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, -0.00, 0.00
