# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  11 0.525 295.8 2362.27
  12 0.575 298.8 2313.29
  13 0.625 303.8 2201.13
  14 0.675 290.6 2033.55
  15 0.725 306.1 2129.43
  16 0.775 299.4 1971.94
  17 0.825 296.8 1913.18
  18 0.875 294.1 1888.86
  19 0.925 300.9 1847.96
  20 0.975 308.2 1678.21
19950 20 6000
  1 0.025 306.1 1648.33
  2 0.075 298.2 1759.63
  3 0.125 300 1690.83
  4 0.175 304.8 1833.52
  5 0.225 299.4 1908.81
  6 0.275 299.8 1930.01
  7 0.325 294.8 2067.06
  8 0.375 300.6 2110.59
  9 0.425 304.6 2270.88
  10 0.475 299.5 2369.3
  11 0.525 293.9 2310.61
  12 0.575 296.2 2268.9
  13 0.625 303.5 2264.71
  14 0.675 291.4 2059.31
  15 0.725 310 2037.8
  16 0.775 295.5 1976.87
  17 0.825 296.7 1932.72
  18 0.875 296.5 1911.2
  19 0.925 302.9 1756.18
  20 0.975 305.6 1741.07
21000 20 6000
  1 0.025 309.3 1721.79
  2 0.075 298.4 1609.92
  3 0.125 299.9 1729.89
  4 0.175 305.3 1784.99
  5 0.225 300.8 1909.4
  6 0.275 297.9 1922.91
  7 0.325 296.2 2137.26
  8 0.375 301.1 2174.98
  9 0.425 303.7 2282.77
  10 0.475 299.8 2347.35
  11 0.525 295.4 2259.59
  12 0.575 300.3 2181.61
  13 0.625 299.3 2153.49
  14 0.675 292.4 2117.5
  15 0.725 307.8 2021.73
  16 0.775 296.9 2010.38
  17 0.825 295.6 1945.59
  18 0.875 294.5 1840.85
  19 0.925 302.3 1862.67
  20 0.975 303.1 1824.31
22050 20 6000
  1 0.025 308.4 1655.55
  2 0.075 299.3 1599.93
  3 0.125 297.2 1791.29
  4 0.175 308.1 1807.41
  5 0.225 300.4 1846.44
  6 0.275 294 1926.68
  7 0.325 296.3 2080.43
  8 0.375 304.3 2144.18
  9 0.425 302.3 2314.71
  10 0.475 299.2 2373.98
  11 0.525 296.8 2325.65
  12 0.575 301.1 2280.71
  13 0.625 301.1 2168.47
  14 0.675 292.3 2083.32
  15 0.725 300.9 2093.09
  16 0.775 296.6 2090.71
  17 0.825 297.5 1869.83
  18 0.875 296.9 1860.69
  19 0.925 304 1836.45
  20 0.975 303.3 1706.87
23100 20 6000
  1 0.025 310 1681.47
  2 0.075 300.4 1726.13
  3 0.125 300.6 1769.16
  4 0.175 306.6 1756.03
  5 0.225 297.9 1833.71
  6 0.275 298.6 1938.45
  7 0.325 293.7 2095.78
  8 0.375 303.9 2193.06
  9 0.425 300.1 2327.71
  10 0.475 302.1 2362.5
  11 0.525 296.1 2359.07
  12 0.575 295.8 2276.27
  13 0.625 298.8 2169.41
  14 0.675 291.2 2055.33
  15 0.725 306.2 2070.32
  16 0.775 294.3 2036.15
  17 0.825 299.3 1924.27
  18 0.875 296.2 1906.35
  19 0.925 305.6 1792.78
  20 0.975 302.6 1653.49
24150 20 6000
  1 0.025 309.3 1602.81
  2 0.075 299.4 1693.28
  3 0.125 299.2 1731.21
  4 0.175 305.7 1760.27
  5 0.225 302 1826.43
  6 0.275 295.3 1924.15
  7 0.325 290.4 2116.1
  8 0.375 306.7 2243.55
  9 0.425 302.9 2291.78
  10 0.475 302.1 2358.1
  11 0.525 296 2439.04
  12 0.575 298.6 2255.27
  13 0.625 301.6 2137.31
  14 0.675 291.9 2126.09
  15 0.725 305.9 2013.85
  16 0.775 301.9 1884.81
  17 0.825 293.9 1940.65
  18 0.875 295.3 1851.93
  19 0.925 302.9 1867.05
  20 0.975 299 1736.41
25200 20 6000
  1 0.025 307.8 1747.31
  2 0.075 303 1662.39
  3 0.125 299.7 1697.08
  4 0.175 307.6 1816.08
  5 0.225 299.6 1850.23
  6 0.275 298.3 1970.35
  7 0.325 291.4 2045.86
  8 0.375 305.9 2102.02
  9 0.425 300.4 2285.37
  10 0.475 299.8 2306.44
  11 0.525 289.7 2423.85
  12 0.575 301 2343.58
  13 0.625 299.6 2218.58
  14 0.675 291.8 2021.61
  15 0.725 309.5 1984.42
  16 0.775 298 1934.81
  17 0.825 292 1961.3
  18 0.875 299.1 1906.76
  19 0.925 305.2 1814.65
  20 0.975 300.6 1782.65
26250 20 6000
  1 0.025 308.2 1698.38
  2 0.075 300.3 1660.6
  3 0.125 299.7 1759.64
  4 0.175 307.8 1756.62
  5 0.225 298.6 1885.31
  6 0.275 298.2 1905.72
  7 0.325 297.1 2081.67
  8 0.375 301.8 2137.88
  9 0.425 299.1 2321.03
  10 0.475 301.9 2390.74
  11 0.525 292.4 2320.93
  12 0.575 298.7 2387.55
  13 0.625 300.6 2238.15
  14 0.675 290.4 2070.99
  15 0.725 305.5 2015.21
  16 0.775 299.7 1967.54
  17 0.825 290.8 1890.97
  18 0.875 301.8 1789.24
  19 0.925 305.4 1776.86
  20 0.975 302 1754.83
27300 20 6000
  1 0.025 308.1 1604.44
  2 0.075 299.6 1713.86
  3 0.125 297 1693.85
  4 0.175 310.5 1736.31
  5 0.225 298.6 1880.31
  6 0.275 295.1 1990.27
  7 0.325 296.4 2042.43
  8 0.375 305.8 2228.39
  9 0.425 299.6 2234.93
  10 0.475 302.3 2321.1
  11 0.525 297.4 2411.84
  12 0.575 298.2 2305.23
  13 0.625 302.8 2258.93
  14 0.675 291.7 2123
  15 0.725 305.4 2050.81
  16 0.775 296.8 1903.57
  17 0.825 291.9 1887.85
  18 0.875 299.1 1829.81
  19 0.925 301.8 1820.01
  20 0.975 301.9 1764.61
28350 20 6000
  1 0.025 308.7 1656.49
  2 0.075 299.9 1637.39
  3 0.125 299.3 1709.59
  4 0.175 304.7 1797.58
  5 0.225 299.5 1844.35
  6 0.275 297.8 1980.77
  7 0.325 294.8 2075.12
  8 0.375 305.5 2123.66
  9 0.425 300.4 2292.56
  10 0.475 296.2 2373.27
  11 0.525 299 2382.67
  12 0.575 296.2 2270.55
  13 0.625 295 2197.82
  14 0.675 294.2 2120.9
  15 0.725 301.5 2026.12
  16 0.775 302.5 2041.98
  17 0.825 293.4 1925.66
  18 0.875 300.7 1825.4
  19 0.925 304.5 1755.91
  20 0.975 306.2 1754.5
29400 20 6000
  1 0.025 306.8 1626.96
  2 0.075 300 1639.92
  3 0.125 298.8 1717.76
  4 0.175 303.5 1851.69
  5 0.225 300.4 1912.32
  6 0.275 294.4 1988.8
  7 0.325 295.1 2015.93
  8 0.375 307.8 2130.2
  9 0.425 301.4 2283.96
  10 0.475 301.4 2351.68
  11 0.525 299.6 2256.58
  12 0.575 294.6 2332.94
  13 0.625 298 2185.15
  14 0.675 299.5 2059.61
  15 0.725 299 2053.2
  16 0.775 301.4 2049.67
  17 0.825 293.2 1868.31
  18 0.875 299.8 1867.42
  19 0.925 304.6 1785.14
  20 0.975 300.7 1611.8
30450 20 6000
  1 0.025 309.7 1485.97
  2 0.075 298.8 1683.68
  3 0.125 298.9 1775.23
  4 0.175 304.3 1812.76
  5 0.225 300.8 1889.32
  6 0.275 296.1 1985.81
  7 0.325 295.3 2084.11
  8 0.375 308.5 2235.68
  9 0.425 295.2 2208.41
  10 0.475 301.7 2272.14
  11 0.525 297.7 2474.87
  12 0.575 293.4 2254.92
  13 0.625 296.3 2258.5
  14 0.675 293.8 2094.66
  15 0.725 301.9 2182.65
  16 0.775 299.1 1941.97
  17 0.825 296.8 1933.4
  18 0.875 304.8 1865.1
  19 0.925 302.2 1767.41
  20 0.975 304.7 1669.51
31500 20 6000
  1 0.025 308 1620.98
  2 0.075 298.3 1661.54
  3 0.125 297.9 1643.87
  4 0.175 304.3 1775.85
  5 0.225 300.4 2005.41
  6 0.275 293.9 2052.75
  7 0.325 296 2037.78
  8 0.375 308.1 2130.14
  9 0.425 294.9 2147.06
  10 0.475 306.5 2265.29
  11 0.525 296 2341.91
  12 0.575 297.7 2293.18
  13 0.625 296.9 2242.52
  14 0.675 295 2188.93
  15 0.725 305.6 2067.46
  16 0.775 302.7 2020.35
  17 0.825 295.1 1862.32
  18 0.875 299.1 1759.76
  19 0.925 298.8 1678.71
  20 0.975 304.8 1670.64
32550 20 6000
  1 0.025 310.3 1621.63
  2 0.075 297.6 1742.03
  3 0.125 299.3 1726.38
  4 0.175 308.2 1771.23
  5 0.225 304.3 1886.32
  6 0.275 292.6 2011.43
  7 0.325 300.5 2088.78
  8 0.375 304.5 2129.67
  9 0.425 298.1 2147.76
