# Time-averaged data for fix f3
# TimeStep c_Nimsd[1] c_Nimsd[2] c_Nimsd[3] c_Nimsd[4]
41575 0.0129432 0.0108016 0.0102569 0.0340017
41580 0.0131378 0.0110528 0.0103029 0.0344935
41585 0.0132604 0.0112376 0.0102421 0.0347401
41590 0.0133006 0.0113375 0.0100715 0.0347096
41595 0.0132568 0.0113428 0.00980574 0.0344053
41600 0.0131362 0.0112532 0.00947547 0.0338648
41605 0.0129535 0.0110769 0.00912299 0.0331533
41610 0.0127297 0.010829 0.00879515 0.0323539
41615 0.0124898 0.0105288 0.00853525 0.0315539
41620 0.0122597 0.0101972 0.00837575 0.0308327
41625 0.0120642 0.00985384 0.00833324 0.0302513
41630 0.011924 0.00951465 0.00840665 0.0298453
41635 0.0118531 0.00919035 0.0085788 0.0296222
41640 0.0118557 0.0088857 0.0088208 0.0295622
41645 0.0119259 0.00860046 0.00909796 0.0296243
41650 0.0120475 0.00833227 0.00937589 0.0297557
41655 0.0121984 0.00808033 0.00962574 0.0299044
41660 0.0123557 0.00784894 0.00982742 0.0300321
41665 0.012502 0.00764939 0.00997067 0.0301221
41670 0.0126289 0.00749927 0.0100545 0.0301827
41675 0.012737 0.00741926 0.0100855 0.0302418
41680 0.0128335 0.00742873 0.0100753 0.0303376
41685 0.0129272 0.00754129 0.0100388 0.0305073
41690 0.013024 0.00776211 0.00999154 0.0307777
41695 0.0131239 0.00808701 0.00994741 0.0311584
41700 0.0132197 0.00850315 0.00991645 0.0316393
41705 0.013298 0.00899069 0.00990258 0.0321913
41710 0.0133423 0.00952499 0.00990229 0.0327696
41715 0.0133368 0.0100794 0.00990477 0.033321
41720 0.0132711 0.0106283 0.00989416 0.0337935
41725 0.0131444 0.0111497 0.00985402 0.0341482
41730 0.0129673 0.0116275 0.00977273 0.0343676
41735 0.0127604 0.0120515 0.00964793 0.0344599
41740 0.0125503 0.0124164 0.00948763 0.0344544
41745 0.0123634 0.0127194 0.00930765 0.0343905
41750 0.0122196 0.0129588 0.00912653 0.0343049
41755 0.0121278 0.0131333 0.00896053 0.0342217
41760 0.0120828 0.0132435 0.00882064 0.034147
41765 0.0120658 0.0132931 0.0087121 0.034071
41770 0.0120475 0.0132903 0.00863603 0.0339738
41775 0.011994 0.0132477 0.00859174 0.0338334
41780 0.0118743 0.0131804 0.0085787 0.0336334
41785 0.0116681 0.0131039 0.00859733 0.0333693
41790 0.0113709 0.0130304 0.00864862 0.03305
41795 0.0109969 0.0129662 0.00873274 0.0326958
41800 0.0105764 0.0129099 0.00884724 0.0323335
41805 0.0101513 0.0128537 0.00898564 0.0319906
41810 0.00976774 0.0127858 0.00913729 0.0316908
41815 0.00946957 0.0126949 0.00928876 0.0314532
41820 0.00929189 0.0125751 0.00942658 0.0312935
41825 0.00925702 0.0124295 0.00954054 0.031227
41830 0.00937241 0.0122717 0.0096264 0.0312706
41835 0.00963071 0.0121237 0.0096872 0.0314416
41840 0.0100117 0.0120109 0.00973254 0.0317551
41845 0.0104854 0.0119557 0.00977609 0.0322171
41850 0.0110158 0.0119718 0.00983209 0.0328196
41855 0.0115649 0.01206 0.00991225 0.0335372
41860 0.0120969 0.0122079 0.0100241 0.0343288
41865 0.0125811 0.0123924 0.0101702 0.0351437
41870 0.012994 0.0125853 0.0103484 0.0359277
41875 0.0133202 0.0127587 0.0105512 0.0366301
41880 0.0135518 0.0128903 0.0107655 0.0372076
41885 0.0136888 0.012966 0.0109731 0.037628
41890 0.0137388 0.0129814 0.0111523 0.0378725
41895 0.0137155 0.0129398 0.0112806 0.0379359
41900 0.0136365 0.0128499 0.0113379 0.0378243
41905 0.0135193 0.0127223 0.0113091 0.0375507
41910 0.0133775 0.0125658 0.0111864 0.0371296
41915 0.013218 0.0123852 0.01097 0.0365732
41920 0.0130413 0.0121799 0.0106686 0.0358897
41925 0.0128427 0.0119441 0.0102986 0.0350855
41930 0.012616 0.0116692 0.00988348 0.0341687
41935 0.0123565 0.0113466 0.00945168 0.0331548
41940 0.0120648 0.010971 0.00903433 0.0320702
41945 0.0117481 0.0105435 0.00866161 0.0309532
41950 0.0114209 0.0100722 0.00835858 0.0298516
41955 0.0111036 0.00957313 0.00814126 0.028818
41960 0.0108214 0.00906903 0.00801416 0.0279046
41965 0.0106013 0.00858708 0.00797009 0.0271585
41970 0.0104694 0.0081562 0.00799236 0.026618
41975 0.0104478 0.00780369 0.00805895 0.0263104
41980 0.0105505 0.00755181 0.00814769 0.02625
41985 0.0107797 0.00741502 0.00824109 0.0264358
41990 0.0111232 0.00739824 0.00832994 0.0268513
41995 0.011553 0.00749661 0.00841487 0.0274645
42000 0.0120283 0.00769674 0.0085057 0.0282308
42005 0.0125002 0.00797909 0.00861904 0.0290983
42010 0.0129185 0.00832078 0.00877429 0.0300135
42015 0.0132389 0.0086983 0.00898894 0.0309262
42020 0.0134285 0.00908935 0.00927388 0.0317918
42025 0.0134678 0.0094738 0.00962963 0.0325713
42030 0.0133506 0.00983372 0.0100447 0.033229
42035 0.0130817 0.0101527 0.0104967 0.0337311
42040 0.0126746 0.0104153 0.0109566 0.0340465
42045 0.0121502 0.0106065 0.0113952 0.0341519
42050 0.0115359 0.0107135 0.0117897 0.034039
42055 0.0108664 0.0107282 0.0121276 0.0337223
42060 0.0101843 0.0106503 0.0124074 0.0332421
42065 0.00953857 0.0104894 0.0126351 0.0326631
42070 0.00898162 0.0102652 0.0128184 0.0320652
42075 0.00856361 0.0100057 0.0129625 0.0315318
42080 0.00832547 0.00974331 0.0130669 0.0311357
42085 0.00829231 0.00951083 0.0131258 0.0309289
42090 0.0084688 0.00933698 0.0131304 0.0309362
42095 0.00883822 0.00924316 0.0130724 0.0311537
42100 0.00936566 0.00924136 0.012947 0.031554
42105 0.0100045 0.00933345 0.0127558 0.0320938
42110 0.0107045 0.00951127 0.0125074 0.0327232
42115 0.0114193 0.00975722 0.0122171 0.0333936
42120 0.0121109 0.0100452 0.0119042 0.0340602
42125 0.0127509 0.0103419 0.0115889 0.0346818
42130 0.0133195 0.0106103 0.0112884 0.0352183
42135 0.0138026 0.0108137 0.0110143 0.0356306
42140 0.0141898 0.010922 0.010771 0.0358829
42145 0.0144738 0.0109183 0.010557 0.0359492
42150 0.0146511 0.0108039 0.0103669 0.0358219
42155 0.0147236 0.0106004 0.0101943 0.0355184
42160 0.0147009 0.0103482 0.0100341 0.0350831
42165 0.0145998 0.0100996 0.00988378 0.0345832
42170 0.0144438 0.00990994 0.00974474 0.0340985
42175 0.0142602 0.00982733 0.00962215 0.0337097
42180 0.0140775 0.00988443 0.009525 0.0334869
42185 0.013922 0.0100937 0.00946491 0.0334806
42190 0.0138155 0.0104469 0.00945392 0.0337163
42195 0.0137722 0.0109174 0.00950162 0.0341913
42200 0.0137971 0.0114662 0.00961244 0.0348758
42205 0.0138845 0.012048 0.00978364 0.0357162
42210 0.0140191 0.0126189 0.0100045 0.0366425
42215 0.0141787 0.0131421 0.0102566 0.0375774
42220 0.0143395 0.0135934 0.0105147 0.0384477
42225 0.0144817 0.0139634 0.0107491 0.0391941
42230 0.0145945 0.0142568 0.0109291 0.0397803
42235 0.0146792 0.0144901 0.0110285 0.0401978
42240 0.0147491 0.0146871 0.0110306 0.0404668
42245 0.0148257 0.0148728 0.0109333 0.0406319
42250 0.0149337 0.0150683 0.0107506 0.0407526
42255 0.0150948 0.0152845 0.010511 0.0408903
42260 0.0153211 0.0155198 0.0102521 0.041093
42265 0.0156101 0.0157587 0.0100138 0.0413825
42270 0.0159418 0.0159738 0.00983092 0.0417466
42275 0.0162798 0.016131 0.00972739 0.0421382
42280 0.0165745 0.0161953 0.00971297 0.0424828
42285 0.0167703 0.0161388 0.0097828 0.0426919
42290 0.0168129 0.0159469 0.00991949 0.0426793
42295 0.0166578 0.0156213 0.0100967 0.0423758
42300 0.0162769 0.0151804 0.0102834 0.0417406
42305 0.0156637 0.0146545 0.0104492 0.0407674
42310 0.0148366 0.0140815 0.0105683 0.0394864
42315 0.0138383 0.0135006 0.010624 0.037963
42320 0.0127333 0.012949 0.0106103 0.0362925
42325 0.0115998 0.0124581 0.0105322 0.0345901
42330 0.0105208 0.0120517 0.0104043 0.0329767
42335 0.00957201 0.0117441 0.0102469 0.031563
42340 0.00881267 0.0115394 0.010082 0.030434
42345 0.00827803 0.0114312 0.00992937 0.0296386
42350 0.00797678 0.0114038 0.00980357 0.0291841
42355 0.00789256 0.0114335 0.00971175 0.0290378
42360 0.00798938 0.0114924 0.00965308 0.0291349
42365 0.00821994 0.0115513 0.0096192 0.0293905
42370 0.00853523 0.0115838 0.00959604 0.0297151
42375 0.00889314 0.0115696 0.00956664 0.0300293
42380 0.0092645 0.0114971 0.00951453 0.0302761
42385 0.00963511 0.0113647 0.00942684 0.0304267
42390 0.0100035 0.0111806 0.00929627 0.0304804
42395 0.0103754 0.010961 0.00912163 0.0304581
42400 0.0107567 0.0107279 0.00890736 0.0303919
42405 0.011147 0.0105062 0.00866248 0.0303156
42410 0.0115364 0.0103217 0.00839983 0.0302579
42415 0.0119054 0.0101995 0.0081356 0.0302406
42420 0.0122277 0.0101631 0.00788871 0.0302796
42425 0.0124749 0.0102323 0.00767939 0.0303866
42430 0.0126209 0.0104211 0.0075267 0.0305686
42435 0.012646 0.0107344 0.00744514 0.0308256
42440 0.0125402 0.0111667 0.00744144 0.0311484
42445 0.0123056 0.0117012 0.0075125 0.0315194
42450 0.0119576 0.0123129 0.00764558 0.0319161
42455 0.0115248 0.0129709 0.00782084 0.0323165
42460 0.0110455 0.0136409 0.00801579 0.0327022
42465 0.0105619 0.0142872 0.00821047 0.0330596
42470 0.0101136 0.0148728 0.00839203 0.0333785
42475 0.00973167 0.0153616 0.00855753 0.0336508
42480 0.00943563 0.0157206 0.00871413 0.0338703
42485 0.00923242 0.0159237 0.00887664 0.0340328
42490 0.009118 0.0159549 0.00906293 0.0341358
42495 0.00908042 0.0158101 0.00928826 0.0341788
42500 0.00910337 0.0154979 0.00955998 0.0341613
42505 0.00916949 0.0150389 0.00987407 0.0340824
42510 0.00926299 0.0144629 0.0102143 0.0339401
42515 0.00937156 0.0138067 0.0105542 0.0337325
42520 0.00948777 0.0131105 0.010862 0.0334603
42525 0.00960984 0.0124144 0.0111061 0.0331303
42530 0.00974163 0.0117546 0.0112605 0.0327567
42535 0.00989164 0.0111601 0.0113097 0.0323614
42540 0.0100708 0.0106499 0.0112507 0.0319714
42545 0.0102893 0.010232 0.0110935 0.0316147
42550 0.0105537 0.00990327 0.0108588 0.0313159
42555 0.0108642 0.00965169 0.0105751 0.031091
42560 0.0112124 0.00945897 0.0102731 0.0309445
42565 0.0115812 0.00930388 0.00998087 0.030866
42570 0.0119458 0.00916545 0.0097196 0.0308309
42575 0.0122765 0.00902575 0.00950072 0.030803
42580 0.0125431 0.00887205 0.0093257 0.0307408
42585 0.0127192 0.00869881 0.00918796 0.030606
42590 0.0127868 0.00850907 0.00907638 0.0303722
42595 0.012738 0.0083148 0.00897951 0.0300323
42600 0.0125768 0.0081354 0.00888942 0.0296016
42605 0.0123171 0.00799447 0.00880369 0.0291153
42610 0.0119815 0.00791541 0.00872508 0.028622
42615 0.0115978 0.00791696 0.00865919 0.028174
42620 0.0111964 0.0080101 0.00861128 0.0278178
42625 0.010808 0.00819704 0.00858366 0.0275887
42630 0.0104627 0.00847275 0.00857462 0.0275101
42635 0.0101897 0.00882786 0.00857933 0.0275969
42640 0.0100167 0.00925193 0.00859191 0.0278606
42645 0.00996958 0.00973539 0.00860768 0.0283126
42650 0.0100694 0.0102695 0.00862439 0.0289632
42655 0.0103288 0.0108448 0.0086424 0.029816
42660 0.0107484 0.0114495 0.00866404 0.030862
42665 0.0113136 0.0120676 0.00869296 0.0320741
42670 0.0119939 0.0126787 0.00873383 0.0334064
42675 0.0127453 0.0132591 0.00879264 0.0347971
42680 0.013515 0.013784 0.00887697 0.036176
42685 0.0142482 0.0142298 0.00899606 0.037474
42690 0.0148943 0.0145769 0.00915988 0.038631
42695 0.0154128 0.0148124 0.00937743 0.0396026
42700 0.015776 0.0149316 0.00965439 0.040362
42705 0.0159695 0.0149388 0.00999068 0.0408989
42710 0.0159912 0.0148464 0.0103782 0.0412159
42715 0.0158492 0.0146743 0.0107993 0.0413228
42720 0.0155592 0.0144474 0.0112264 0.0412329
42725 0.0151425 0.0141931 0.0116241 0.0409597
42730 0.0146255 0.013938 0.0119539 0.0405175
42735 0.0140378 0.0137042 0.0121805 0.0399225
42740 0.0134116 0.0135054 0.0122789 0.039196
42745 0.0127804 0.0133455 0.0122405 0.0383664
42750 0.0121769 0.0132181 0.0120762 0.0374713
42755 0.011632 0.0131102 0.011815 0.0365572
42760 0.0111723 0.0130065 0.0114988 0.0356776
42765 0.0108184 0.012894 0.0111745 0.0348869
42770 0.0105841 0.0127645 0.0108844 0.0342331
42775 0.0104756 0.012615 0.0106594 0.03375
42780 0.0104921 0.012446 0.010514 0.0334521
42785 0.0106265 0.0122604 0.0104471 0.033334
42790 0.0108673 0.0120625 0.0104457 0.0333755
42795 0.0111991 0.0118591 0.0104912 0.0335494
42800 0.0116037 0.0116609 0.0105657 0.0338303
42805 0.0120604 0.011483 0.0106574 0.0342007
42810 0.0125462 0.0113426 0.0107614 0.0346502
42815 0.0130357 0.0112554 0.0108787 0.0351699
42820 0.013502 0.0112308 0.0110123 0.0357451
42825 0.0139173 0.0112678 0.0111629 0.036348
42830 0.0142545 0.0113548 0.0113265 0.0369359
42835 0.0144895 0.0114715 0.0114927 0.0374538
42840 0.0146033 0.0115938 0.011645 0.0378422
42845 0.0145853 0.0116995 0.0117626 0.0380474
42850 0.0144355 0.0117741 0.0118233 0.0380329
42855 0.014166 0.0118145 0.0118076 0.0377881
42860 0.0138005 0.01183 0.0117018 0.0373323
42865 0.0133716 0.0118391 0.0115019 0.0367126
42870 0.012916 0.0118643 0.0112147 0.035995
42875 0.0124696 0.0119252 0.0108576 0.0352524
42880 0.0120632 0.012033 0.0104567 0.0345529
42885 0.01172 0.0121872 0.0100434 0.0339506
42890 0.011455 0.0123748 0.00965038 0.0334802
42895 0.0112763 0.0125724 0.00930713 0.0331559
42900 0.0111869 0.0127502 0.0090364 0.0329735
42905 0.011186 0.0128782 0.00885204 0.0329162
42910 0.0112695 0.012933 0.00875886 0.0329613
42915 0.0114295 0.0129031 0.00875423 0.0330869
42920 0.0116537 0.0127919 0.00883086 0.0332764
42925 0.0119255 0.0126155 0.00897977 0.0335207
42930 0.0122243 0.0123988 0.00919243 0.0338155
42935 0.0125273 0.0121679 0.00946136 0.0341566
42940 0.0128107 0.0119442 0.00977893 0.0345338
42945 0.0130508 0.0117401 0.010135 0.0349258
42950 0.0132264 0.0115588 0.0105143 0.0352995
42955 0.0133212 0.0113963 0.0108955 0.0356129
42960 0.0133264 0.0112444 0.0112515 0.0358223
42965 0.0132439 0.011094 0.011553 0.0358909
42970 0.0130869 0.0109379 0.0117727 0.0357975
