# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

184 1 0.0 5.73627508 14.69325023 34.967493418
185 1 0.0 3.911761782 14.69325023 44.955637359
186 1 0.0 11.209813479 24.002203394 5.003069784
187 1 0.0 9.385300589 24.002203394 14.991211492
188 1 0.0 7.560787834 24.002203394 24.979352455
189 1 0.0 5.73627508 24.002203394 34.967493418
190 1 0.0 3.911761782 24.002203394 44.955637359
191 1 0.0 11.209813479 33.311155171 5.003069784
192 1 0.0 9.385300589 33.311155171 14.991211492
193 1 0.0 7.560787834 33.311155171 24.979352455
194 1 0.0 5.73627508 33.311155171 34.967493418
195 1 0.0 3.911761782 33.311155171 44.955637359
196 1 0.0 11.209813479 42.620106947 5.003069784
197 1 0.0 9.385300589 42.620106947 14.991211492
198 1 0.0 7.560787834 42.620106947 24.979352455
199 1 0.0 5.73627508 42.620106947 34.967493418
200 1 0.0 3.911761782 42.620106947 44.955637359
201 1 0.0 16.567759972 5.384298107 5.003069784
202 1 0.0 14.743247082 5.384298107 14.991211492
203 1 0.0 12.918734328 5.384298107 24.979352455
204 1 0.0 11.094221573 5.384298107 34.967493418
205 1 0.0 9.269708275 5.384298107 44.955637359
206 1 0.0 16.567759972 14.69325023 5.003069784
207 1 0.0 14.743247082 14.69325023 14.991211492
208 1 0.0 12.918734328 14.69325023 24.979352455
209 1 0.0 11.094221573 14.69325023 34.967493418
210 1 0.0 9.269708275 14.69325023 44.955637359
211 1 0.0 16.567759972 24.002203394 5.003069784
212 1 0.0 14.743247082 24.002203394 14.991211492
213 1 0.0 12.918734328 24.002203394 24.979352455
214 1 0.0 11.094221573 24.002203394 34.967493418
215 1 0.0 9.269708275 24.002203394 44.955637359
216 1 0.0 16.567759972 33.311155171 5.003069784
217 1 0.0 14.743247082 33.311155171 14.991211492
218 1 0.0 12.918734328 33.311155171 24.979352455
219 1 0.0 11.094221573 33.311155171 34.967493418
220 1 0.0 9.269708275 33.311155171 44.955637359
