# LAMMPS data file

4440 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 39.9525647336 zlo zhi
0.0 -7.2980511784 0.0 xy xz yz
89 1 0.0 16.376577899 42.620112496 19.967283213
90 1 0.0 12.72755231 42.620112496 39.94356558
91 1 0.0 21.734523594 5.384302615 19.967283213
92 1 0.0 18.085498005 5.384302615 39.94356558
93 1 0.0 21.734523594 14.693254391 19.967283213
94 1 0.0 18.085498005 14.693254391 39.94356558
95 1 0.0 21.734523594 24.002206168 19.967283213
96 1 0.0 18.085498005 24.002206168 39.94356558
97 1 0.0 21.734523594 33.311160719 19.967283213
98 1 0.0 18.085498005 33.311160719 39.94356558
99 1 0.0 21.734523594 42.620112496 19.967283213
100 1 0.0 18.085498005 42.620112496 39.94356558
101 1 0.0 0.493924192 5.384302615 5.003069745
102 1 0.0 -3.155101397 5.384302615 24.979352112
103 1 0.0 0.493924192 14.693254391 5.003069745
104 1 0.0 -3.155101397 14.693254391 24.979352112
105 1 0.0 0.493924192 24.002206168 5.003069745
106 1 0.0 -3.155101397 24.002206168 24.979352112
107 1 0.0 0.493924192 33.311160719 5.003069745
108 1 0.0 -3.155101397 33.311160719 24.979352112
109 1 0.0 0.493924192 42.620112496 5.003069745
110 1 0.0 -3.155101397 42.620112496 24.979352112
111 1 0.0 5.851870186 5.384302615 5.003069745
112 1 0.0 2.202844597 5.384302615 24.979352112
113 1 0.0 5.851870186 14.693254391 5.003069745
114 1 0.0 2.202844597 14.693254391 24.979352112
115 1 0.0 5.851870186 24.002206168 5.003069745
116 1 0.0 2.202844597 24.002206168 24.979352112
117 1 0.0 5.851870186 33.311160719 5.003069745
118 1 0.0 2.202844597 33.311160719 24.979352112
119 1 0.0 5.851870186 42.620112496 5.003069745
120 1 0.0 2.202844597 42.620112496 24.979352112
121 1 0.0 11.209815881 5.384302615 5.003069745
122 1 0.0 7.560790292 5.384302615 24.979352112
123 1 0.0 11.209815881 14.693254391 5.003069745
124 1 0.0 7.560790292 14.693254391 24.979352112
125 1 0.0 11.209815881 24.002206168 5.003069745
126 1 0.0 7.560790292 24.002206168 24.979352112
127 1 0.0 11.209815881 33.311160719 5.003069745
128 1 0.0 7.560790292 33.311160719 24.979352112
129 1 0.0 11.209815881 42.620112496 5.003069745
130 1 0.0 7.560790292 42.620112496 24.979352112
131 1 0.0 16.567763173 5.384302615 5.003069745
132 1 0.0 12.918737584 5.384302615 24.979352112
133 1 0.0 16.567763173 14.693254391 5.003069745
134 1 0.0 12.918737584 14.693254391 24.979352112
135 1 0.0 16.567763173 24.002206168 5.003069745
136 1 0.0 12.918737584 24.002206168 24.979352112
137 1 0.0 16.567763173 33.311160719 5.003069745
138 1 0.0 12.918737584 33.311160719 24.979352112
139 1 0.0 16.567763173 42.620112496 5.003069745
140 1 0.0 12.918737584 42.620112496 24.979352112
141 1 0.0 21.925708868 5.384302615 5.003069745
142 1 0.0 18.276683279 5.384302615 24.979352112
143 1 0.0 21.925708868 14.693254391 5.003069745
144 1 0.0 18.276683279 14.693254391 24.979352112
145 1 0.0 21.925708868 24.002206168 5.003069745
146 1 0.0 18.276683279 24.002206168 24.979352112
147 1 0.0 21.925708868 33.311160719 5.003069745
148 1 0.0 18.276683279 33.311160719 24.979352112
149 1 0.0 21.925708868 42.620112496 5.003069745
150 1 0.0 18.276683279 42.620112496 24.979352112
151 1 0.0 -1.330588603 5.384302615 14.991210929
152 1 0.0 -4.979614192 5.384302615 34.967493295
153 1 0.0 -1.330588603 14.693254391 14.991210929
154 1 0.0 -4.979614192 14.693254391 34.967493295
155 1 0.0 -1.330588603 24.002206168 14.991210929
156 1 0.0 -4.979614192 24.002206168 34.967493295
157 1 0.0 -1.330588603 33.311160719 14.991210929
158 1 0.0 -4.979614192 33.311160719 34.967493295
159 1 0.0 -1.330588603 42.620112496 14.991210929
160 1 0.0 -4.979614192 42.620112496 34.967493295
161 1 0.0 4.027357392 5.384302615 14.991210929
162 1 0.0 0.378331802 5.384302615 34.967493295
163 1 0.0 4.027357392 14.693254391 14.991210929
164 1 0.0 0.378331802 14.693254391 34.967493295
165 1 0.0 4.027357392 24.002206168 14.991210929
166 1 0.0 0.378331802 24.002206168 34.967493295
167 1 0.0 4.027357392 33.311160719 14.991210929
168 1 0.0 0.378331802 33.311160719 34.967493295
169 1 0.0 4.027357392 42.620112496 14.991210929
170 1 0.0 0.378331802 42.620112496 34.967493295
171 1 0.0 9.385303885 5.384302615 14.991210929
172 1 0.0 5.736278296 5.384302615 34.967493295
173 1 0.0 9.385303885 14.693254391 14.991210929
174 1 0.0 5.736278296 14.693254391 34.967493295
175 1 0.0 9.385303885 24.002206168 14.991210929
176 1 0.0 5.736278296 24.002206168 34.967493295
177 1 0.0 9.385303885 33.311160719 14.991210929
178 1 0.0 5.736278296 33.311160719 34.967493295
179 1 0.0 9.385303885 42.620112496 14.991210929
180 1 0.0 5.736278296 42.620112496 34.967493295
181 1 0.0 14.743248782 5.384302615 14.991210929
182 1 0.0 11.094223192 5.384302615 34.967493295
183 1 0.0 14.743248782 14.693254391 14.991210929
184 1 0.0 11.094223192 14.693254391 34.967493295
185 1 0.0 14.743248782 24.002206168 14.991210929
186 1 0.0 11.094223192 24.002206168 34.967493295
187 1 0.0 14.743248782 33.311160719 14.991210929
188 1 0.0 11.094223192 33.311160719 34.967493295
189 1 0.0 14.743248782 42.620112496 14.991210929
190 1 0.0 11.094223192 42.620112496 34.967493295
191 1 0.0 20.101196074 5.384302615 14.991210929
192 1 0.0 16.452170484 5.384302615 34.967493295
193 1 0.0 20.101196074 14.693254391 14.991210929
194 1 0.0 16.452170484 14.693254391 34.967493295
195 1 0.0 20.101196074 24.002206168 14.991210929
196 1 0.0 16.452170484 24.002206168 34.967493295
197 1 0.0 20.101196074 33.311160719 14.991210929
198 1 0.0 16.452170484 33.311160719 34.967493295
199 1 0.0 20.101196074 42.620112496 14.991210929
200 1 0.0 16.452170484 42.620112496 34.967493295
201 1 0.0 4.085153706 8.579126437 0.008999315
202 1 0.0 0.436128147 8.579126437 19.98528152
203 1 0.0 4.085153706 17.888078214 0.008999315
204 1 0.0 0.436128147 17.888078214 19.98528152
205 1 0.0 4.085153706 27.197029991 0.008999315
206 1 0.0 0.436128147 27.197029991 19.98528152
207 1 0.0 4.085153706 36.505984542 0.008999315
208 1 0.0 0.436128147 36.505984542 19.98528152
209 1 0.0 4.085153706 45.814936318 0.008999315
210 1 0.0 0.436128147 45.814936318 19.98528152
211 1 0.0 9.443099401 8.579126437 0.008999315
212 1 0.0 5.794073842 8.579126437 19.98528152
213 1 0.0 9.443099401 17.888078214 0.008999315
214 1 0.0 5.794073842 17.888078214 19.98528152
215 1 0.0 9.443099401 27.197029991 0.008999315
216 1 0.0 5.794073842 27.197029991 19.98528152
217 1 0.0 9.443099401 36.505984542 0.008999315
218 1 0.0 5.794073842 36.505984542 19.98528152
219 1 0.0 9.443099401 45.814936318 0.008999315
220 1 0.0 5.794073842 45.814936318 19.98528152
221 1 0.0 14.801045895 8.579126437 0.008999315
222 1 0.0 11.152020335 8.579126437 19.98528152
223 1 0.0 14.801045895 17.888078214 0.008999315
224 1 0.0 11.152020335 17.888078214 19.98528152
225 1 0.0 14.801045895 27.197029991 0.008999315
226 1 0.0 11.152020335 27.197029991 19.98528152
227 1 0.0 14.801045895 36.505984542 0.008999315
228 1 0.0 11.152020335 36.505984542 19.98528152
229 1 0.0 14.801045895 45.814936318 0.008999315
230 1 0.0 11.152020335 45.814936318 19.98528152
231 1 0.0 20.15899159 8.579126437 0.008999315
232 1 0.0 16.50996603 8.579126437 19.98528152
233 1 0.0 20.15899159 17.888078214 0.008999315
234 1 0.0 16.50996603 17.888078214 19.98528152
235 1 0.0 20.15899159 27.197029991 0.008999315
236 1 0.0 16.50996603 27.197029991 19.98528152
237 1 0.0 20.15899159 36.505984542 0.008999315
238 1 0.0 16.50996603 36.505984542 19.98528152
239 1 0.0 20.15899159 45.814936318 0.008999315
240 1 0.0 16.50996603 45.814936318 19.98528152
241 1 0.0 25.516937285 8.579126437 0.008999315
242 1 0.0 21.867911725 8.579126437 19.98528152
243 1 0.0 25.516937285 17.888078214 0.008999315
244 1 0.0 21.867911725 17.888078214 19.98528152
245 1 0.0 25.516937285 27.197029991 0.008999315
246 1 0.0 21.867911725 27.197029991 19.98528152
247 1 0.0 25.516937285 36.505984542 0.008999315
248 1 0.0 21.867911725 36.505984542 19.98528152
249 1 0.0 25.516937285 45.814936318 0.008999315
250 1 0.0 21.867911725 45.814936318 19.98528152
251 1 0.0 2.260640542 8.579126437 9.997140337
252 1 0.0 -1.388385047 8.579126437 29.973422704
253 1 0.0 2.260640542 17.888078214 9.997140337
254 1 0.0 -1.388385047 17.888078214 29.973422704
255 1 0.0 2.260640542 27.197029991 9.997140337
256 1 0.0 -1.388385047 27.197029991 29.973422704
257 1 0.0 2.260640542 36.505984542 9.997140337
258 1 0.0 -1.388385047 36.505984542 29.973422704
259 1 0.0 2.260640542 45.814936318 9.997140337
260 1 0.0 -1.388385047 45.814936318 29.973422704
261 1 0.0 7.618586636 8.579126437 9.997140337
262 1 0.0 3.969561047 8.579126437 29.973422704
263 1 0.0 7.618586636 17.888078214 9.997140337
264 1 0.0 3.969561047 17.888078214 29.973422704
265 1 0.0 7.618586636 27.197029991 9.997140337
266 1 0.0 3.969561047 27.197029991 29.973422704
267 1 0.0 7.618586636 36.505984542 9.997140337
268 1 0.0 3.969561047 36.505984542 29.973422704
269 1 0.0 7.618586636 45.814936318 9.997140337
270 1 0.0 3.969561047 45.814936318 29.973422704
271 1 0.0 18.334478825 8.579126437 9.997140337
272 1 0.0 14.685453236 8.579126437 29.973422704
273 1 0.0 18.334478825 17.888078214 9.997140337
274 1 0.0 14.685453236 17.888078214 29.973422704
275 1 0.0 18.334478825 27.197029991 9.997140337
276 1 0.0 14.685453236 27.197029991 29.973422704
277 1 0.0 18.334478825 36.505984542 9.997140337
278 1 0.0 14.685453236 36.505984542 29.973422704
279 1 0.0 18.334478825 45.814936318 9.997140337
280 1 0.0 14.685453236 45.814936318 29.973422704
281 1 0.0 23.69242452 8.579126437 9.997140337
282 1 0.0 20.043398931 8.579126437 29.973422704
283 1 0.0 23.69242452 17.888078214 9.997140337
284 1 0.0 20.043398931 17.888078214 29.973422704
285 1 0.0 23.69242452 27.197029991 9.997140337
286 1 0.0 20.043398931 27.197029991 29.973422704
287 1 0.0 23.69242452 36.505984542 9.997140337
288 1 0.0 20.043398931 36.505984542 29.973422704
289 1 0.0 23.69242452 45.814936318 9.997140337
290 1 0.0 20.043398931 45.814936318 29.973422704
291 1 0.0 5.71848211 8.579126437 4.985071141
292 1 0.0 2.069456466 8.579126437 24.961353805
293 1 0.0 5.71848211 17.888078214 4.985071141
294 1 0.0 2.069456466 17.888078214 24.961353805
295 1 0.0 5.71848211 27.197029991 4.985071141
296 1 0.0 2.069456466 27.197029991 24.961353805
297 1 0.0 5.71848211 36.505984542 4.985071141
298 1 0.0 2.069456466 36.505984542 24.961353805
299 1 0.0 5.71848211 45.814936318 4.985071141
300 1 0.0 2.069456466 45.814936318 24.961353805
301 1 0.0 11.076427805 8.579126437 4.985071141
302 1 0.0 7.427402161 8.579126437 24.961353805
303 1 0.0 11.076427805 17.888078214 4.985071141
304 1 0.0 7.427402161 17.888078214 24.961353805
305 1 0.0 11.076427805 27.197029991 4.985071141
306 1 0.0 7.427402161 27.197029991 24.961353805
307 1 0.0 11.076427805 36.505984542 4.985071141
308 1 0.0 7.427402161 36.505984542 24.961353805
309 1 0.0 11.076427805 45.814936318 4.985071141
310 1 0.0 7.427402161 45.814936318 24.961353805
311 1 0.0 16.4343735 8.579126437 4.985071141
312 1 0.0 12.785347856 8.579126437 24.961353805
313 1 0.0 16.4343735 17.888078214 4.985071141
314 1 0.0 12.785347856 17.888078214 24.961353805
315 1 0.0 16.4343735 27.197029991 4.985071141
316 1 0.0 12.785347856 27.197029991 24.961353805
317 1 0.0 16.4343735 36.505984542 4.985071141
318 1 0.0 12.785347856 36.505984542 24.961353805
319 1 0.0 16.4343735 45.814936318 4.985071141
320 1 0.0 12.785347856 45.814936318 24.961353805
321 1 0.0 21.792320792 8.579126437 4.985071141
322 1 0.0 18.143295148 8.579126437 24.961353805
323 1 0.0 21.792320792 17.888078214 4.985071141
324 1 0.0 18.143295148 17.888078214 24.961353805
325 1 0.0 21.792320792 27.197029991 4.985071141
326 1 0.0 18.143295148 27.197029991 24.961353805
327 1 0.0 21.792320792 36.505984542 4.985071141
328 1 0.0 18.143295148 36.505984542 24.961353805
329 1 0.0 21.792320792 45.814936318 4.985071141
330 1 0.0 18.143295148 45.814936318 24.961353805
331 1 0.0 -1.463976933 8.579126437 14.973212622
332 1 0.0 -5.113002523 8.579126437 34.949494988
333 1 0.0 -1.463976933 17.888078214 14.973212622
334 1 0.0 -5.113002523 17.888078214 34.949494988
335 1 0.0 -1.463976933 27.197029991 14.973212622
336 1 0.0 -5.113002523 27.197029991 34.949494988
337 1 0.0 -1.463976933 36.505984542 14.973212622
338 1 0.0 -5.113002523 36.505984542 34.949494988
339 1 0.0 -1.463976933 45.814936318 14.973212622
340 1 0.0 -5.113002523 45.814936318 34.949494988
341 1 0.0 3.893969261 8.579126437 14.973212622
342 1 0.0 0.244943671 8.579126437 34.949494988
343 1 0.0 3.893969261 17.888078214 14.973212622
344 1 0.0 0.244943671 17.888078214 34.949494988
345 1 0.0 3.893969261 27.197029991 14.973212622
346 1 0.0 0.244943671 27.197029991 34.949494988
347 1 0.0 3.893969261 36.505984542 14.973212622
348 1 0.0 0.244943671 36.505984542 34.949494988
349 1 0.0 3.893969261 45.814936318 14.973212622
350 1 0.0 0.244943671 45.814936318 34.949494988
351 1 0.0 9.251914956 8.579126437 14.973212622
352 1 0.0 5.602889366 8.579126437 34.949494988
353 1 0.0 9.251914956 17.888078214 14.973212622
354 1 0.0 5.602889366 17.888078214 34.949494988
355 1 0.0 9.251914956 27.197029991 14.973212622
356 1 0.0 5.602889366 27.197029991 34.949494988
357 1 0.0 9.251914956 36.505984542 14.973212622
358 1 0.0 5.602889366 36.505984542 34.949494988
359 1 0.0 9.251914956 45.814936318 14.973212622
360 1 0.0 5.602889366 45.814936318 34.949494988
361 1 0.0 14.609860651 8.579126437 14.973212622
362 1 0.0 10.960835061 8.579126437 34.949494988
363 1 0.0 14.609860651 17.888078214 14.973212622
364 1 0.0 10.960835061 17.888078214 34.949494988
365 1 0.0 14.609860651 27.197029991 14.973212622
366 1 0.0 10.960835061 27.197029991 34.949494988
367 1 0.0 14.609860651 36.505984542 14.973212622
368 1 0.0 10.960835061 36.505984542 34.949494988
369 1 0.0 14.609860651 45.814936318 14.973212622
370 1 0.0 10.960835061 45.814936318 34.949494988
371 1 0.0 19.967807943 8.579126437 14.973212622
372 1 0.0 16.318782353 8.579126437 34.949494988
373 1 0.0 19.967807943 17.888078214 14.973212622
374 1 0.0 16.318782353 17.888078214 34.949494988
375 1 0.0 19.967807943 27.197029991 14.973212622
376 1 0.0 16.318782353 27.197029991 34.949494988
377 1 0.0 19.967807943 36.505984542 14.973212622
378 1 0.0 16.318782353 36.505984542 34.949494988
379 1 0.0 19.967807943 45.814936318 14.973212622
380 1 0.0 16.318782353 45.814936318 34.949494988
381 1 0.0 8.46414817 6.981714526 4.994070592
382 1 0.0 4.815122581 6.981714526 24.970352959
383 1 0.0 8.46414817 16.290666303 4.994070592
384 1 0.0 4.815122581 16.290666303 24.970352959
385 1 0.0 8.46414817 25.599619467 4.994070592
386 1 0.0 4.815122581 25.599619467 24.970352959
387 1 0.0 8.46414817 34.908571243 4.994070592
388 1 0.0 4.815122581 34.908571243 24.970352959
389 1 0.0 8.46414817 44.21752302 4.994070592
390 1 0.0 4.815122581 44.21752302 24.970352959
391 1 0.0 13.822095462 6.981714526 4.994070592
392 1 0.0 10.173069872 6.981714526 24.970352959
393 1 0.0 13.822095462 16.290666303 4.994070592
394 1 0.0 10.173069872 16.290666303 24.970352959
395 1 0.0 13.822095462 25.599619467 4.994070592
396 1 0.0 10.173069872 25.599619467 24.970352959
397 1 0.0 13.822095462 34.908571243 4.994070592
398 1 0.0 10.173069872 34.908571243 24.970352959
399 1 0.0 13.822095462 44.21752302 4.994070592
400 1 0.0 10.173069872 44.21752302 24.970352959
401 1 0.0 19.18003956 6.981714526 4.994070592
402 1 0.0 15.531013971 6.981714526 24.970352959
403 1 0.0 19.18003956 16.290666303 4.994070592
404 1 0.0 15.531013971 16.290666303 24.970352959
405 1 0.0 19.18003956 25.599619467 4.994070592
406 1 0.0 15.531013971 25.599619467 24.970352959
407 1 0.0 19.18003956 34.908571243 4.994070592
408 1 0.0 15.531013971 34.908571243 24.970352959
409 1 0.0 19.18003956 44.21752302 4.994070592
410 1 0.0 15.531013971 44.21752302 24.970352959
411 1 0.0 24.537986852 6.981714526 4.994070592
412 1 0.0 20.888961263 6.981714526 24.970352959
413 1 0.0 24.537986852 16.290666303 4.994070592
414 1 0.0 20.888961263 16.290666303 24.970352959
415 1 0.0 24.537986852 25.599619467 4.994070592
416 1 0.0 20.888961263 25.599619467 24.970352959
417 1 0.0 24.537986852 34.908571243 4.994070592
418 1 0.0 20.888961263 34.908571243 24.970352959
419 1 0.0 24.537986852 44.21752302 4.994070592
420 1 0.0 20.888961263 44.21752302 24.970352959
421 1 0.0 1.281690479 6.981714526 14.982211775
422 1 0.0 -2.367335111 6.981714526 34.958494142
423 1 0.0 1.281690479 16.290666303 14.982211775
424 1 0.0 -2.367335111 16.290666303 34.958494142
425 1 0.0 1.281690479 25.599619467 14.982211775
426 1 0.0 -2.367335111 25.599619467 34.958494142
427 1 0.0 1.281690479 34.908571243 14.982211775
428 1 0.0 -2.367335111 34.908571243 34.958494142
429 1 0.0 1.281690479 44.21752302 14.982211775
430 1 0.0 -2.367335111 44.21752302 34.958494142
431 1 0.0 6.639636174 6.981714526 14.982211775
432 1 0.0 2.990610584 6.981714526 34.958494142
433 1 0.0 6.639636174 16.290666303 14.982211775
434 1 0.0 2.990610584 16.290666303 34.958494142
435 1 0.0 6.639636174 25.599619467 14.982211775
436 1 0.0 2.990610584 25.599619467 34.958494142
437 1 0.0 6.639636174 34.908571243 14.982211775
438 1 0.0 2.990610584 34.908571243 34.958494142
439 1 0.0 6.639636174 44.21752302 14.982211775
440 1 0.0 2.990610584 44.21752302 34.958494142
441 1 0.0 11.997582667 6.981714526 14.982211775
442 1 0.0 8.348557078 6.981714526 34.958494142
443 1 0.0 11.997582667 16.290666303 14.982211775
444 1 0.0 8.348557078 16.290666303 34.958494142
445 1 0.0 11.997582667 25.599619467 14.982211775
446 1 0.0 8.348557078 25.599619467 34.958494142
447 1 0.0 11.997582667 34.908571243 14.982211775
448 1 0.0 8.348557078 34.908571243 34.958494142
449 1 0.0 11.997582667 44.21752302 14.982211775
450 1 0.0 8.348557078 44.21752302 34.958494142
451 1 0.0 17.355528362 6.981714526 14.982211775
452 1 0.0 13.706502773 6.981714526 34.958494142
453 1 0.0 17.355528362 16.290666303 14.982211775
454 1 0.0 13.706502773 16.290666303 34.958494142
455 1 0.0 17.355528362 25.599619467 14.982211775
456 1 0.0 13.706502773 25.599619467 34.958494142
457 1 0.0 17.355528362 34.908571243 14.982211775
458 1 0.0 13.706502773 34.908571243 34.958494142
459 1 0.0 17.355528362 44.21752302 14.982211775
460 1 0.0 13.706502773 44.21752302 34.958494142
461 1 0.0 22.713474057 6.981714526 14.982211775
462 1 0.0 19.064448468 6.981714526 34.958494142
463 1 0.0 22.713474057 16.290666303 14.982211775
464 1 0.0 19.064448468 16.290666303 34.958494142
465 1 0.0 22.713474057 25.599619467 14.982211775
466 1 0.0 19.064448468 25.599619467 34.958494142
467 1 0.0 22.713474057 34.908571243 14.982211775
468 1 0.0 19.064448468 34.908571243 34.958494142
469 1 0.0 22.713474057 44.21752302 14.982211775
470 1 0.0 19.064448468 44.21752302 34.958494142
471 1 0.0 1.339486524 6.981714526 0.0
472 1 0.0 -2.309539066 6.981714526 19.976282367
473 1 0.0 1.339486524 16.290666303 0.0
474 1 0.0 -2.309539066 16.290666303 19.976282367
475 1 0.0 1.339486524 25.599619467 0.0
476 1 0.0 -2.309539066 25.599619467 19.976282367
477 1 0.0 1.339486524 34.908571243 0.0
478 1 0.0 -2.309539066 34.908571243 19.976282367
479 1 0.0 1.339486524 44.21752302 0.0
480 1 0.0 -2.309539066 44.21752302 19.976282367
481 1 0.0 6.697432518 6.981714526 0.0
482 1 0.0 3.048406929 6.981714526 19.976282367
483 1 0.0 6.697432518 16.290666303 0.0
484 1 0.0 3.048406929 16.290666303 19.976282367
485 1 0.0 6.697432518 25.599619467 0.0
486 1 0.0 3.048406929 25.599619467 19.976282367
487 1 0.0 6.697432518 34.908571243 0.0
488 1 0.0 3.048406929 34.908571243 19.976282367
489 1 0.0 6.697432518 44.21752302 0.0
490 1 0.0 3.048406929 44.21752302 19.976282367
491 1 0.0 12.055378213 6.981714526 0.0
492 1 0.0 8.406352624 6.981714526 19.976282367
493 1 0.0 12.055378213 16.290666303 0.0
494 1 0.0 8.406352624 16.290666303 19.976282367
495 1 0.0 12.055378213 25.599619467 0.0
496 1 0.0 8.406352624 25.599619467 19.976282367
497 1 0.0 12.055378213 34.908571243 0.0
498 1 0.0 8.406352624 34.908571243 19.976282367
499 1 0.0 12.055378213 44.21752302 0.0
500 1 0.0 8.406352624 44.21752302 19.976282367
501 1 0.0 17.413323908 6.981714526 0.0
502 1 0.0 13.764298319 6.981714526 19.976282367
503 1 0.0 17.413323908 16.290666303 0.0
504 1 0.0 13.764298319 16.290666303 19.976282367
505 1 0.0 17.413323908 25.599619467 0.0
506 1 0.0 13.764298319 25.599619467 19.976282367
507 1 0.0 17.413323908 34.908571243 0.0
508 1 0.0 13.764298319 34.908571243 19.976282367
509 1 0.0 17.413323908 44.21752302 0.0
510 1 0.0 13.764298319 44.21752302 19.976282367
511 1 0.0 22.7712712 6.981714526 0.0
512 1 0.0 19.122245611 6.981714526 19.976282367
513 1 0.0 22.7712712 16.290666303 0.0
514 1 0.0 19.122245611 16.290666303 19.976282367
515 1 0.0 22.7712712 25.599619467 0.0
516 1 0.0 19.122245611 25.599619467 19.976282367
517 1 0.0 22.7712712 34.908571243 0.0
518 1 0.0 19.122245611 34.908571243 19.976282367
519 1 0.0 22.7712712 44.21752302 0.0
520 1 0.0 19.122245611 44.21752302 19.976282367
521 1 0.0 -0.485026271 6.981714526 9.988141183
522 1 0.0 -4.13405186 6.981714526 29.96442355
523 1 0.0 -0.485026271 16.290666303 9.988141183
524 1 0.0 -4.13405186 16.290666303 29.96442355
525 1 0.0 -0.485026271 25.599619467 9.988141183
526 1 0.0 -4.13405186 25.599619467 29.96442355
527 1 0.0 -0.485026271 34.908571243 9.988141183
