Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ti, -118.72527598, ti_pbesol_v1.4.uspp.F.UPF, 40, 320, 12.00, GBRV-1.4, -0.38, 1.96
Tl, -144.51342241, tl_pbesol_v1.2.uspp.F.UPF, 70, 560, 13.00, GBRV-1.2, -0.00, 0.00
Tm, -937.76426508, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, 0.05, 0.30
U, -1014.51450512, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, -0.76, 2.73
V, -144.46626612, v_pbesol_v1.4.uspp.F.UPF, 40, 320, 13.00, GBRV-1.4, -1.13, 2.64
W, -158.20245086, w_pbesol_v1.2.uspp.F.UPF, 50, 400, 14.00, GBRV-1.2, -0.00, 0.00
Xe, -587.26083403, Xe.paw.z_18.ld1.psl.v1.0.0-high.upf, 150, 900, 18.00, 100PAW, -0.00, 0.00
Yb, -1002.37701423, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, -0.00, 0.00
Y, -92.39648382, y_pbesol_v1.4.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.01, 0.01
Zn, -461.14167613, zn_pbesol_v1.uspp.F.UPF, 90, 720, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -98.64323718, zr_pbesol_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, 0.00, 0.02
