ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
254 2 6.91321 6.2147 1.47098 -29.3731 0.0922415 1.83489 -1.85825 
1694 2 7.02714 6.27016 6.725 -28.556 0.218015 -0.612075 -2.46097 
3134 2 6.97308 6.55251 11.5602 -28.2232 0.822034 -1.78594 -0.0257775 
494 2 6.78141 9.87142 1.51296 -29.0628 1.69476 -0.836793 -0.834161 
1934 2 6.95934 9.83178 6.45925 -28.0645 -0.778683 -0.838403 0.31847 
3374 2 6.77208 9.79588 11.7434 -28.2321 0.232851 0.860216 -3.25544 
734 2 6.98256 13.6812 1.34176 -29.4796 -0.472311 -0.981307 0.648215 
2174 2 7.13296 13.7176 6.35063 -29.2405 -1.53123 1.18882 0.628802 
3614 2 6.94729 13.4061 11.5971 -28.8407 0.41513 1.36089 1.70247 
974 2 6.96549 17.2768 1.317 -28.8183 -0.00442633 -0.543711 0.690291 
2414 2 6.78403 17.2559 6.45881 -29.5278 -0.756417 -3.07502 1.2298 
3854 2 6.81368 16.9889 11.5666 -27.9205 -0.820966 -0.418212 1.29616 
1214 2 6.95847 21.059 1.37587 -28.6655 -1.00406 -1.25739 -1.06421 
2654 2 6.95014 20.9176 6.19736 -28.4038 -1.45876 -0.225382 3.43741 
4094 2 7.05139 20.9074 11.6294 -28.9037 1.06646 1.51504 0.452107 
3380 2 10.7079 10.0484 11.6095 -29.2596 -0.529118 -0.197319 1.15203 
964 1 2.31182 16.7782 3.20688 -7.76628 -0.368759 1.57233 0.023313 
3850 1 4.85358 16.3916 12.6658 -7.56869 2.59221 -0.142667 0.599105 
6965 1 -0.800547 18.7119 0.469346 -7.92945 -2.30285 2.68778 0.54727 
1690 1 5.99237 6.53575 8.22892 -8.71832 -0.489131 -1.24184 0.947675 
2886 1 0.450556 0.49246 12.3953 -8.44448 1.25742 -0.173338 2.0847 
245 1 -1.2774 4.25373 5.38383 -8.73679 2.07302 -1.16955 4.32125 
730 1 5.65011 13.3678 3.19459 -7.40741 0.607877 -0.0173 0.377766 
20 2 10.7069 2.50284 1.41926 -28.6406 -1.49966 0.10731 1.68887 
963 1 1.40016 17.3189 0.583722 -7.29728 1.30982 2.44776 -0.380865 
1703 1 10.7479 5.01573 9.87857 -8.64589 -0.654807 -1.29074 0.159687 
3604 1 1.56377 12.6065 12.2598 -7.43916 0.430385 1.13053 1.86882 
984 1 10.5351 15.0057 3.02901 -8.7695 0.99992 -0.486499 0.929946 
6977 1 6.49734 19.2661 0.506492 -8.22891 -2.34475 -1.80533 1.38499 
3 1 1.55728 2.95407 0.634171 -7.68274 -1.56332 1.4104 -1.18148 
729 1 5.14902 14.1002 0.660309 -7.82456 -1.12591 -0.2538 -1.8197 
975 1 8.90383 17.9284 0.486092 -7.48348 -1.15612 -1.54405 1.09248 
1450 1 5.21045 1.9551 7.52149 -7.77123 1.40931 -0.485982 -1.67875 
1 2 1.40113 0.823129 4.04218 -28.9744 0.170008 -1.3452 0.0514019 
1441 2 1.68395 0.678555 9.02763 -28.1073 -1.56655 -1.29116 0.505246 
241 2 1.03803 4.20204 3.99109 -29.0982 1.21005 -0.809417 1.00983 
1681 2 1.22328 4.17178 9.45242 -28.3968 0.232352 0.989947 -2.31021 
481 2 1.27406 8.10392 3.91851 -28.1424 -0.912195 -1.15835 0.498997 
1921 2 1.5631 7.96886 9.07688 -28.4471 -0.772055 -1.07321 0.250743 
721 2 1.56396 11.6488 4.06401 -28.7139 -1.84418 1.82602 -0.577613 
2161 2 1.48668 11.6259 9.30616 -28.9618 -1.46097 1.55538 -1.07806 
961 2 1.12949 15.2935 3.87893 -28.7373 2.57516 -0.756349 0.843656 
2401 2 1.53658 15.3038 9.07722 -29.4669 -0.0753071 1.04307 0.501627 
1201 2 1.27702 18.7151 3.89887 -28.7625 2.63465 1.55671 -0.198264 
2641 2 1.21588 18.9512 9.0159 -29.0932 1.90872 0.158342 1.81396 
7 2 5.1041 0.763712 3.84771 -28.4621 0.459713 1.03887 -0.554728 
1447 2 5.00868 0.662424 9.17882 -29.1138 3.56921 1.01192 0.672098 
247 2 4.98458 4.52726 4.14588 -30.5074 0.254407 1.10161 -0.586304 
1687 2 5.19913 4.70244 9.22845 -29.0327 -0.0841439 -1.98729 -0.12043 
487 2 5.03657 8.13393 4.04438 -28.8215 1.09035 -3.58695 -0.439226 
1927 2 5.03324 8.16849 9.03099 -28.2403 -0.513328 -1.08192 0.0815967 
