# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
41835 0.00939057 0.0136614 0.0119658 0.0350177
41840 0.00991348 0.0135963 0.0120348 0.0355446
41845 0.0102735 0.0134727 0.0120966 0.0358428
41850 0.0104505 0.0132984 0.0121498 0.0358988
41855 0.0104517 0.0130873 0.0121943 0.0357333
41860 0.0103089 0.0128571 0.0122296 0.0353957
41865 0.0100701 0.0126276 0.0122526 0.0349503
41870 0.00978869 0.0124203 0.0122595 0.0344685
41875 0.00951446 0.0122539 0.0122481 0.0340164
41880 0.00928715 0.0121394 0.0122141 0.0336406
41885 0.00913258 0.012081 0.0121485 0.0333621
41890 0.00906094 0.0120729 0.01204 0.0331738
41895 0.00906701 0.0120987 0.0118785 0.0330443
41900 0.00913462 0.0121329 0.0116576 0.0329252
41905 0.00924329 0.0121443 0.0113785 0.032766
41910 0.00937138 0.0121047 0.0110554 0.0325315
41915 0.00950047 0.0119985 0.0107127 0.0322116
41920 0.00961907 0.0118272 0.0103813 0.0318276
41925 0.00972056 0.011609 0.0100917 0.0314213
41930 0.00980421 0.0113703 0.00986267 0.0310372
41935 0.00987248 0.0111379 0.00969958 0.03071
41940 0.0099288 0.0109342 0.0095957 0.0304587
41945 0.00997771 0.0107763 0.00953514 0.0302891
41950 0.0100246 0.0106739 0.00949741 0.0301959
41955 0.0100759 0.0106291 0.00946393 0.0301689
41960 0.0101398 0.0106375 0.00942202 0.0301993
41965 0.0102262 0.0106914 0.00936891 0.0302865
41970 0.0103484 0.0107772 0.00931148 0.0304371
41975 0.0105228 0.0108787 0.00926538 0.0306669
41980 0.010766 0.0109822 0.0092502 0.0309985
41985 0.0110875 0.0110766 0.00928575 0.0314499
41990 0.0114868 0.0111532 0.00938981 0.0320298
41995 0.0119514 0.0112046 0.00957641 0.0327324
42000 0.012453 0.0112257 0.00984963 0.0335284
42005 0.0129518 0.0112157 0.0101993 0.0343668
42010 0.0134015 0.0111785 0.0106032 0.0351832
42015 0.0137607 0.0111211 0.0110308 0.0359126
42020 0.0140003 0.0110542 0.0114453 0.0364999
42025 0.0141091 0.0109911 0.0118066 0.0369068
42030 0.0140958 0.0109434 0.0120771 0.0371163
42035 0.013985 0.0109193 0.0122291 0.0371333
42040 0.0138132 0.0109196 0.0122488 0.0369816
42045 0.0136227 0.010937 0.01214 0.0366997
