# Time-averaged data for fix f5
# TimeStep c_Femsd[1] c_Femsd[2] c_Femsd[3] c_Femsd[4]
41220 0.0152694 0.0109524 0.0104174 0.0366392
41225 0.0147488 0.010423 0.00995287 0.0351247
41230 0.0143143 0.00987151 0.0095383 0.0337241
41235 0.0139928 0.00932827 0.00917421 0.0324952
41240 0.0137931 0.0088227 0.00886094 0.0314767
41245 0.0137067 0.00837908 0.00859985 0.0306856
41250 0.0137115 0.0080136 0.00839434 0.0301195
41255 0.013777 0.00773371 0.00825044 0.0297611
41260 0.0138687 0.0075393 0.00817704 0.0295851
41265 0.0139536 0.0074252 0.00818534 0.0295641
41270 0.0140026 0.00738387 0.00828724 0.0296737
41275 0.0139952 0.0074079 0.00849264 0.0298957
41280 0.0139213 0.0074914 0.00880584 0.0302186
41285 0.013784 0.00763012 0.00922216 0.0306363
41290 0.0135989 0.00782042 0.00972547 0.0311448
41295 0.0133921 0.00805722 0.0102876 0.031737
41300 0.0131953 0.00833132 0.0108703 0.0323969
41305 0.01304 0.00862737 0.0114293 0.0330967
41310 0.0129523 0.00892351 0.0119212 0.033797
41315 0.0129495 0.00919359 0.01231 0.0344531
41320 0.0130382 0.0094113 0.0125739 0.0350234
41325 0.0132148 0.00955499 0.0127082 0.035478
41330 0.0134662 0.00961136 0.0127254 0.0358029
41335 0.0137697 0.00957702 0.0126518 0.0359986
41340 0.0140937 0.00945786 0.0125223 0.0360739
41345 0.0143983 0.00926712 0.0123738 0.0360392
41350 0.0146376 0.00902352 0.012241 0.0359021
41355 0.0147649 0.00874972 0.0121528 0.0356674
41360 0.014739 0.00847113 0.0121303 0.0353405
41365 0.0145308 0.00821444 0.0121864 0.0349316
41370 0.0141295 0.0080052 0.012325 0.0344597
41375 0.0135452 0.00786461 0.012542 0.0339518
41380 0.0128085 0.00780608 0.0128265 0.0334411
41385 0.0119684 0.00783258 0.0131627 0.0329636
41390 0.0110872 0.00793563 0.0135327 0.0325555
41395 0.0102354 0.00809646 0.0139176 0.0322495
41400 0.00948407 0.00828941 0.0142987 0.0320721
41405 0.00889801 0.00848724 0.0146558 0.0320411
41410 0.00852896 0.00866744 0.0149678 0.0321642
41415 0.0084103 0.00881798 0.0152123 0.0324405
41420 0.00855335 0.00894067 0.0153684 0.0328625
41425 0.00894564 0.00905054 0.01542 0.0334162
41430 0.0095513 0.0091708 0.0153589 0.034081
41435 0.0103142 0.00932575 0.0151875 0.0348274
41440 0.0111639 0.00953387 0.01492 0.0356178
41445 0.0120247 0.00980344 0.0145827 0.0364109
41450 0.0128258 0.0101311 0.0142112 0.0371681
41455 0.01351 0.0105031 0.0138462 0.0378594
41460 0.0140411 0.010898 0.0135272 0.0384662
41465 0.0144056 0.0112892 0.0132856 0.0389804
41470 0.0146116 0.0116478 0.0131395 0.039399
41475 0.0146842 0.0119442 0.0130902 0.0397186
41480 0.0146582 0.0121506 0.0131222 0.039931
41485 0.0145714 0.0122445 0.0132066 0.0400225
41490 0.0144597 0.0122112 0.0133065 0.0399775
41495 0.0143532 0.0120467 0.0133838 0.0397838
41500 0.0142749 0.0117575 0.013406 0.0394384
41505 0.0142405 0.0113603 0.0133526 0.0389534
41510 0.0142587 0.0108812 0.0132191 0.038359
41515 0.0143324 0.010354 0.0130176 0.037704
41520 0.014458 0.00981854 0.0127743 0.0370508
41525 0.0146253 0.00931679 0.0125235 0.0364657
41530 0.0148178 0.00888824 0.0123003 0.0360063
41535 0.0150138 0.00856493 0.0121335 0.0357122
41540 0.0151911 0.00836751 0.01204 0.0355987
41545 0.0153313 0.00830348 0.0120233 0.0356581
41550 0.0154239 0.00836785 0.0120738 0.0358655
41555 0.015468 0.00854598 0.0121719 0.0361859
41560 0.0154711 0.00881728 0.0122932 0.0365815
41565 0.0154463 0.00915872 0.0124123 0.0370173
41570 0.0154077 0.00954739 0.0125072 0.0374623
41575 0.0153668 0.00996143 0.0125608 0.037889
41580 0.0153284 0.0103798 0.012561 0.0382693
41585 0.0152896 0.0107815 0.0124999 0.038571
41590 0.0152393 0.0111452 0.0123728 0.0387574
41595 0.0151616 0.0114509 0.0121784 0.038791
41600 0.0150406 0.0116813 0.0119207 0.0386426
41605 0.0148656 0.0118251 0.0116107 0.0383015
41610 0.0146363 0.011879 0.0112659 0.0377812
41615 0.0143633 0.0118481 0.0109075 0.0371189
41620 0.0140664 0.011745 0.0105562 0.0363676
41625 0.0137688 0.0115871 0.0102286 0.0355845
41630 0.0134913 0.0113937 0.00993429 0.0348193
41635 0.0132468 0.0111834 0.00967623 0.0341064
41640 0.0130379 0.0109724 0.00945161 0.0334619
41645 0.0128578 0.0107744 0.0092543 0.0328865
41650 0.0126934 0.0106004 0.00907772 0.0323715
41655 0.0125309 0.01046 0.00891758 0.0319084
41660 0.0123614 0.0103603 0.00877409 0.0314958
41665 0.0121836 0.0103058 0.00865299 0.0311424
41670 0.0120051 0.0102959 0.00856498 0.0308659
41675 0.0118387 0.0103233 0.00852443 0.0306864
41680 0.0116985 0.0103742 0.00854727 0.03062
41685 0.0115946 0.010429 0.00864858 0.0306722
41690 0.0115295 0.0104657 0.00883977 0.030835
41695 0.0114975 0.0104635 0.00912598 0.0310871
41700 0.0114865 0.0104063 0.00950396 0.0313968
41705 0.0114815 0.0102863 0.00996112 0.0317288
41710 0.0114684 0.0101059 0.0104758 0.03205
41715 0.0114366 0.00987868 0.0110183 0.0323336
41720 0.0113796 0.00962716 0.011553 0.0325598
41725 0.0112952 0.00937873 0.0120414 0.0327153
41730 0.0111851 0.0091612 0.0124461 0.0327924
41735 0.0110553 0.00899796 0.012737 0.0327903
41740 0.0109174 0.00890399 0.0128964 0.0327178
41745 0.0107886 0.00888334 0.012924 0.032596
41750 0.0106915 0.00892819 0.0128371 0.0324568
41755 0.010651 0.00901964 0.0126667 0.0323373
41760 0.0106892 0.0091306 0.0124489 0.0322687
41765 0.0108197 0.00923085 0.0122151 0.0322657
41770 0.0110426 0.00929312 0.0119845 0.0323203
41775 0.0113431 0.009299 0.0117614 0.0324035
41780 0.0116948 0.00924289 0.0115379 0.0324756
41785 0.0120664 0.00913288 0.0113016 0.0325009
41790 0.0124309 0.00898884 0.0110445 0.0324643
41795 0.0127714 0.00883812 0.0107714 0.0323809
41800 0.0130839 0.00871002 0.0105031 0.032297
41805 0.0133741 0.00863054 0.0102748 0.0322795
41810 0.0136494 0.00861807 0.0101294 0.0323969
41815 0.0139112 0.00868071 0.0101075 0.0326994
41820 0.0141486 0.00881529 0.0102386 0.0332025
41825 0.0143375 0.00900807 0.0105344 0.0338799
41830 0.0144447 0.00923722 0.010985 0.0346669
41835 0.0144365 0.00947637 0.0115599 0.0354727
41840 0.0142877 0.00969923 0.0122121 0.036199
41845 0.0139908 0.00988388 0.0128849 0.0367596
41850 0.0135602 0.0100161 0.0135198 0.0370962
41855 0.0130314 0.0100918 0.0140639 0.0371871
41860 0.0124552 0.0101171 0.0144759 0.0370483
41865 0.0118898 0.0101071 0.01473 0.036727
41870 0.0113902 0.010082 0.0148174 0.0362896
41875 0.0110001 0.0100607 0.0147453 0.0358061
41880 0.0107461 0.0100555 0.0145336 0.0353352
41885 0.0106365 0.0100671 0.0142104 0.034914
41890 0.0106641 0.0100843 0.0138071 0.0345556
41895 0.0108125 0.0100866 0.0133549 0.034254
41900 0.0110631 0.0100507 0.0128817 0.0339955
41905 0.0114008 0.00995861 0.0124116 0.0337711
41910 0.0118179 0.00980444 0.0119643 0.0335867
41915 0.012312 0.00959947 0.0115553 0.0334667
41920 0.0128821 0.00937227 0.0111945 0.0334489
41925 0.0135229 0.00916405 0.0108864 0.0335734
41930 0.0142205 0.00902064 0.0106293 0.0338704
41935 0.0149502 0.00898365 0.0104162 0.0343501
41940 0.0156773 0.00908307 0.0102355 0.0349959
41945 0.0163592 0.00933253 0.0100721 0.0357638
41950 0.0169485 0.00972756 0.00990946 0.0365855
41955 0.0173981 0.0102468 0.0097321 0.0373769
41960 0.0176656 0.0108554 0.00952865 0.0380496
41965 0.01772 0.0115103 0.00929586 0.0385262
41970 0.0175465 0.012166 0.00904187 0.0387544
41975 0.0171505 0.0127795 0.00878737 0.0387174
41980 0.0165574 0.0133151 0.00856368 0.0384363
41985 0.0158101 0.013746 0.00840745 0.0379636
41990 0.0149625 0.0140544 0.0083533 0.0373702
41995 0.0140728 0.0142305 0.00842664 0.03673
42000 0.0131978 0.0142717 0.00863873 0.0361082
42005 0.0123877 0.0141816 0.00898515 0.0355545
42010 0.0116839 0.0139703 0.00944773 0.0351019
42015 0.0111177 0.0136539 0.00999922 0.0347708
42020 0.010709 0.0132548 0.0106093 0.0345731
42025 0.0104662 0.0128001 0.0112496 0.0345159
42030 0.010385 0.0123195 0.0118974 0.0346019
42035 0.010449 0.0118426 0.0125359 0.0348275
42040 0.0106323 0.0113949 0.0131526 0.0351799
42045 0.0109027 0.0109949 0.0137373 0.0356349
42050 0.0112264 0.0106512 0.0142794 0.036157
42055 0.0115724 0.0103623 0.0147669 0.0367016
42060 0.0119156 0.010118 0.0151865 0.0372201
42065 0.0122383 0.00990334 0.0155247 0.0376664
42070 0.0125306 0.00970343 0.0157697 0.0380037
42075 0.0127884 0.00950902 0.0159125 0.0382099
42080 0.0130117 0.00932024 0.0159483 0.0382802
42085 0.0132016 0.00914806 0.0158765 0.0382262
42090 0.0133588 0.00901292 0.0157008 0.0380725
42095 0.0134819 0.00894081 0.0154271 0.0378498
42100 0.0135683 0.00895775 0.015063 0.0375891
42105 0.0136154 0.00908327 0.0146168 0.0373155
42110 0.0136215 0.00932439 0.0140983 0.0370441
42115 0.0135868 0.00967109 0.0135196 0.0367774
42120 0.0135137 0.0100947 0.0128969 0.0365052
42125 0.0134072 0.0105498 0.0122515 0.0362085
42130 0.013275 0.0109798 0.0116093 0.0358641
42135 0.013128 0.0113246 0.0109974 0.0354501
42140 0.0129802 0.0115299 0.0104403 0.0349504
42145 0.0128472 0.0115561 0.00995582 0.0343591
42150 0.0127446 0.0113852 0.0095527 0.0336825
42155 0.0126862 0.0110257 0.00923073 0.0329426
42160 0.0126832 0.0105125 0.00898335 0.032179
42165 0.0127433 0.00990312 0.00880161 0.031448
42170 0.0128708 0.00926965 0.00867821 0.0308187
42175 0.0130665 0.00868766 0.00861011 0.0303642
42180 0.0133261 0.00822454 0.00859874 0.0301494
42185 0.0136398 0.00792896 0.00864783 0.0302166
42190 0.0139905 0.00782384 0.00876008 0.0305744
42195 0.0143539 0.0079046 0.00893419 0.0311927
42200 0.0147012 0.00814272 0.00916353 0.0320075
42205 0.0150035 0.0084937 0.00943658 0.0329338
42210 0.0152374 0.00890679 0.00973891 0.0338831
42215 0.0153901 0.00933439 0.0100555 0.03478
42220 0.0154625 0.0097387 0.0103734 0.0355746
42225 0.0154694 0.0100951 0.010683 0.0362474
42230 0.0154373 0.0103926 0.010979 0.0368089
42235 0.0154001 0.0106328 0.0112603 0.0372932
42240 0.0153948 0.010827 0.011529 0.0377508
42245 0.0154559 0.0109925 0.0117892 0.0382376
42250 0.0156105 0.0111479 0.0120451 0.0388034
42255 0.0158732 0.0113082 0.0122994 0.0394808
42260 0.016243 0.0114812 0.0125522 0.0402764
42265 0.0167021 0.0116655 0.0128002 0.0411679
42270 0.0172177 0.0118514 0.013038 0.0421071
42275 0.017747 0.0120232 0.0132594 0.0430297
42280 0.0182437 0.0121638 0.0134601 0.0438675
42285 0.0186638 0.0122568 0.0136394 0.04456
42290 0.0189707 0.0122903 0.0138016 0.0450626
42295 0.0191382 0.0122587 0.0139548 0.0453516
42300 0.0191516 0.0121641 0.0141084 0.045424
42305 0.0190089 0.0120182 0.0142683 0.0452954
42310 0.0187198 0.0118413 0.0144342 0.0449952
42315 0.0183045 0.0116605 0.0145966 0.0445616
42320 0.0177916 0.0115056 0.0147368 0.0440341
42325 0.0172154 0.0114041 0.0148293 0.0434489
42330 0.0166124 0.0113769 0.0148451 0.0428344
42335 0.0160174 0.0114347 0.0147579 0.0422099
42340 0.0154608 0.0115764 0.0145498 0.041587
42345 0.0149656 0.0117897 0.0142164 0.0409718
42350 0.0145455 0.012053 0.0137687 0.0403672
42355 0.0142032 0.0123379 0.0132318 0.0397729
42360 0.0139295 0.0126134 0.0126407 0.0391837
42365 0.0137045 0.0128498 0.0120342 0.0385885
42370 0.0135003 0.0130219 0.0114499 0.0379721
42375 0.013286 0.013112 0.01092 0.0373179
42380 0.0130337 0.0131111 0.0104701 0.0366149
42385 0.0127239 0.0130188 0.0101193 0.035862
42390 0.0123488 0.0128422 0.0098802 0.0350711
42395 0.0119133 0.0125932 0.00975895 0.0342655
42400 0.0114333 0.0122862 0.00975503 0.0334745
42405 0.0109323 0.0119354 0.00986072 0.0327285
42410 0.0104382 0.0115548 0.010061 0.0320541
42415 0.00997909 0.0111574 0.0103345 0.031471
42420 0.00958081 0.0107554 0.0106545 0.0309907
42425 0.00926395 0.0103608 0.0109915 0.0306163
42430 0.00904223 0.00998512 0.0113162 0.0303435
42435 0.00892188 0.00964056 0.0116025 0.0301649
42440 0.00890219 0.00934023 0.0118322 0.0300746
42445 0.00897693 0.00909889 0.0119976 0.0300734
42450 0.00913594 0.00893276 0.0121032 0.0301719
42455 0.00936666 0.00885845 0.0121645 0.0303896
42460 0.00965541 0.00889113 0.0122044 0.030751
42465 0.00998812 0.00904156 0.0122494 0.0312791
42470 0.0103505 0.00931212 0.0123244 0.031987
42475 0.0107279 0.00969293 0.0124484 0.0328692
42480 0.0111045 0.0101593 0.0126314 0.0338952
42485 0.0114625 0.0106724 0.0128721 0.035007
42490 0.011782 0.0111832 0.0131567 0.0361219
42495 0.0120417 0.011639 0.01346 0.0371407
42500 0.01222 0.0119914 0.0137481 0.0379595
42505 0.0122978 0.0122041 0.013983 0.0384849
42510 0.0122616 0.0122573 0.014128 0.038647
42515 0.0121067 0.0121506 0.0141534 0.0384106
42520 0.0118382 0.0119004 0.0140406 0.0377792
42525 0.0114713 0.0115362 0.0137851 0.0367926
42530 0.011028 0.0110945 0.0133969 0.0355194
42535 0.0105347 0.0106128 0.0128994 0.0340469
42540 0.0100187 0.0101253 0.012327 0.032471
42545 0.0095064 0.00966038 0.0117216 0.0308883
42550 0.00902271 0.00924033 0.0111279 0.0293909
42555 0.00859115 0.00888205 0.0105892 0.0280624
42560 0.00823327 0.00859806 0.0101418 0.0269732
42565 0.00796665 0.00839681 0.00981114 0.0261746
42570 0.00780178 0.00828171 0.00960748 0.025691
42575 0.00773963 0.0082494 0.00952545 0.0255145
42580 0.00777124 0.0082887 0.00954551 0.0256055
42585 0.00788027 0.00838114 0.00963824 0.0258996
42590 0.00804762 0.00850317 0.00977021 0.026321
42595 0.00825624 0.00862989 0.00990962 0.0267958
42600 0.00849387 0.00873952 0.0100304 0.0272638
42605 0.00875271 0.00881772 0.0101142 0.0276846
42610 0.00902686 0.00886051 0.0101511 0.0280384
42615 0.00930986 0.00887575 0.0101394 0.028325
42620 0.00959362 0.00888245 0.0100862 0.0285622
42625 0.00986941 0.00890751 0.0100069 0.0287838
42630 0.0101302 0.00898063 0.00992482 0.0290357
42635 0.0103735 0.00912896 0.00986888 0.0293713
42640 0.0106026 0.00937232 0.0098697 0.0298446
42645 0.0108283 0.00971994 0.00995503 0.0305032
42650 0.0110668 0.0101692 0.010145 0.0313809
42655 0.0113378 0.010706 0.0104485 0.0324923
42660 0.0116602 0.0113066 0.0108624 0.0338292
42665 0.0120477 0.0119402 0.0113731 0.035361
42670 0.012505 0.0125717 0.0119599 0.0370365
42675 0.0130264 0.0131638 0.0126001 0.0387904
42680 0.0135957 0.0136811 0.0132731 0.0405499
42685 0.0141893 0.0140929 0.0139622 0.0422445
42690 0.0147803 0.0143786 0.0146552 0.0438141
42695 0.0153421 0.0145303 0.0153417 0.0452141
42700 0.0158521 0.0145558 0.0160104 0.0464183
42705 0.0162935 0.0144778 0.0166468 0.0474182
42710 0.0166561 0.0143307 0.017233 0.0482198
42715 0.0169365 0.0141545 0.0177484 0.0488394
42720 0.0171382 0.0139867 0.0181734 0.0492983
42725 0.01727 0.0138553 0.0184916 0.049617
42730 0.0173446 0.0137732 0.0186941 0.049812
42735 0.0173755 0.0137365 0.0187812 0.0498932
42740 0.0173741 0.0137261 0.018764 0.0498642
42745 0.0173478 0.0137136 0.0186627 0.0497242
42750 0.0172995 0.0136684 0.0185032 0.0494711
42755 0.0172285 0.0135651 0.0183111 0.0491047
42760 0.0171327 0.0133899 0.0181057 0.0486283
42765 0.0170096 0.0131432 0.0178956 0.0480485
42770 0.016857 0.0128388 0.0176767 0.0473725
42775 0.0166725 0.0125004 0.017433 0.0466059
42780 0.0164537 0.0121566 0.017141 0.0457514
42785 0.0161985 0.0118352 0.0167764 0.0448101
42790 0.0159062 0.0115588 0.01632 0.043785
42795 0.0155777 0.0113423 0.0157637 0.0426837
42800 0.0152164 0.0111911 0.0151129 0.0415204
42805 0.0148288 0.0111015 0.0143871 0.0403173
42810 0.0144239 0.0110621 0.0136187 0.0391047
42815 0.0140136 0.0110563 0.0128495 0.0379194
42820 0.0136118 0.0110638 0.0121255 0.0368011
42825 0.0132322 0.0110637 0.0114902 0.0357862
42830 0.0128867 0.0110369 0.0109785 0.0349021
42835 0.0125826 0.0109693 0.0106114 0.0341634
42840 0.0123221 0.0108551 0.0103941 0.0335713
42845 0.0121022 0.0106982 0.0103174 0.0331178
42850 0.0119159 0.0105119 0.0103613 0.0327891
42855 0.011754 0.0103163 0.0104989 0.0325692
42860 0.011606 0.0101336 0.0107005 0.03244
42865 0.0114621 0.00998238 0.0109366 0.0323811
42870 0.0113145 0.00987437 0.0111804 0.0323692
42875 0.0111585 0.00981317 0.0114092 0.0323809
42880 0.0109936 0.00979643 0.0116061 0.0323961
42885 0.010824 0.00981977 0.0117591 0.0324029
42890 0.0106578 0.00988035 0.0118608 0.032399
42895 0.0105052 0.0099787 0.011907 0.0323909
42900 0.0103772 0.0101179 0.011895 0.0323902
42905 0.0102837 0.0103008 0.0118242 0.0324087
42910 0.0102322 0.0105259 0.0116963 0.0324544
42915 0.0102281 0.0107846 0.0115171 0.0325298
42920 0.0102748 0.0110598 0.0112974 0.032632
42925 0.0103736 0.0113273 0.011053 0.0327539
42930 0.0105246 0.0115589 0.0108046 0.0328881
42935 0.0107253 0.0117272 0.0105757 0.0330282
42940 0.0109702 0.0118107 0.0103908 0.0331717
42945 0.0112488 0.0117973 0.0102727 0.0333188
42950 0.0115451 0.0116866 0.0102398 0.0334715
42955 0.0118375 0.0114897 0.0103038 0.033631
42960 0.0121008 0.0112279 0.0104682 0.033797
42965 0.0123101 0.0109305 0.0107278 0.0339684
42970 0.012446 0.0106306 0.0110694 0.034146
42975 0.0124988 0.0103607 0.0114743 0.0343338
42980 0.0124712 0.0101486 0.0119202 0.03454
42985 0.0123777 0.0100117 0.0123832 0.0347726
42990 0.0122409 0.00995431 0.0128392 0.0350344
42995 0.0120866 0.00996666 0.0132642 0.0353175
43000 0.0119379 0.0100278 0.0136351 0.0356008
43005 0.0118099 0.0101114 0.0139316 0.0358528
43010 0.0117074 0.0101933 0.0141377 0.0360383
43015 0.0116256 0.0102575 0.0142447 0.0361278
43020 0.0115529 0.0102993 0.0142533 0.0361055
43025 0.0114753 0.0103245 0.0141738 0.0359736
43030 0.0113805 0.0103463 0.0140253 0.0357521
43035 0.0112615 0.0103802 0.0138333 0.035475
43040 0.0111177 0.0104403 0.0136252 0.0351832
43045 0.0109557 0.0105365 0.0134263 0.0349185
43050 0.0107872 0.0106739 0.013257 0.034718
43055 0.0106271 0.0108524 0.0131308 0.0346102
43060 0.0104905 0.0110678 0.0130535 0.0346118
43065 0.0103904 0.0113123 0.0130234 0.0347262
43070 0.0103358 0.011575 0.0130319 0.0349428
43075 0.0103315 0.0118429 0.0130642 0.0352385
43080 0.0103789 0.0121005 0.013101 0.0355803
43085 0.0104763 0.0123309 0.0131214 0.0359286
43090 0.010619 0.0125167 0.013106 0.0362417
43095 0.0107992 0.0126412 0.0130402 0.0364806
43100 0.0110055 0.0126915 0.0129164 0.0366133
43105 0.0112245 0.0126608 0.0127354 0.0366207
43110 0.0114444 0.012551 0.012506 0.0365015
43115 0.0116577 0.0123738 0.0122433 0.0362748
43120 0.0118638 0.0121489 0.0119659 0.0359786
43125 0.01207 0.0119001 0.0116938 0.0356639
43130 0.0122893 0.0116509 0.0114448 0.035385
43135 0.0125379 0.0114204 0.0112325 0.0351908
43140 0.0128314 0.0112218 0.0110653 0.0351184
43145 0.0131816 0.0110631 0.0109463 0.035191
43150 0.013594 0.0109491 0.0108752 0.0354183
43155 0.0140653 0.0108841 0.0108489 0.0357983
43160 0.0145817 0.0108729 0.0108632 0.0363179
43165 0.0151184 0.0109195 0.0109128 0.0369507
43170 0.0156399 0.0110237 0.0109917 0.0376552
43175 0.0161026 0.0111777 0.0110939 0.0383743
43180 0.0164604 0.0113638 0.0112149 0.0390391
43185 0.016671 0.0115541 0.0113521 0.0395772
43190 0.016704 0.0117139 0.0115054 0.0399233
43195 0.016546 0.0118076 0.0116759 0.0400296
43200 0.0162055 0.0118044 0.0118643 0.0398741
43205 0.0157117 0.0116845 0.0120691 0.0394653
43210 0.015112 0.0114431 0.0122861 0.0388412
43215 0.0144645 0.0110904 0.0125072 0.0380621
43220 0.0138291 0.0106502 0.0127192 0.0371985
43225 0.0132581 0.0101541 0.0129058 0.0363181
43230 0.012788 0.00963636 0.013052 0.0354763
43235 0.0124346 0.00912897 0.0131468 0.0347104
43240 0.0121929 0.00865881 0.0131857 0.0340374
43245 0.0120405 0.00824617 0.0131712 0.0334579
43250 0.0119449 0.0079045 0.0131133 0.0329627
43255 0.0118711 0.00764044 0.0130264 0.032538
43260 0.0117891 0.00745403 0.0129266 0.0321698
43265 0.0116789 0.00733913 0.0128274 0.0318455
43270 0.0115328 0.00728481 0.0127358 0.0315534
43275 0.0113549 0.00727787 0.0126508 0.0312835
43280 0.0111598 0.00730653 0.0125633 0.0310297
43285 0.0109695 0.00736414 0.0124599 0.0307935
43290 0.0108096 0.00745182 0.0123275 0.0305889
43295 0.0107053 0.0075791 0.0121594 0.0304439
43300 0.0106772 0.00776185 0.0119586 0.0303976
43305 0.0107366 0.00801812 0.0117392 0.0304939
43310 0.0108838 0.00836225 0.0115251 0.0307712
43315 0.0111071 0.00879939 0.0113461 0.0312526
43320 0.0113846 0.00932163 0.011233 0.0319393
43325 0.0116891 0.00990652 0.0112127 0.0328084
43330 0.0119928 0.0105183 0.0113044 0.0338155
43335 0.0122722 0.0111119 0.0115166 0.0349006
43340 0.012511 0.0116384 0.011846 0.0359954
43345 0.0127014 0.0120525 0.012278 0.0370319
43350 0.0128429 0.0123189 0.0127874 0.0379493
43355 0.0129409 0.0124183 0.0133411 0.0387002
43360 0.0130037 0.0123503 0.0139004 0.0392544
43365 0.0130406 0.0121345 0.0144244 0.0395995
43370 0.0130599 0.0118071 0.0148721 0.0397391
43375 0.013067 0.011416 0.0152051 0.0396882
43380 0.0130636 0.0110132 0.0153908 0.0394676
43385 0.0130479 0.0106473 0.0154044 0.0390997
43390 0.0130164 0.0103573 0.0152324 0.0386061
43395 0.0129658 0.0101675 0.0148753 0.0380086
43400 0.0128957 0.010086 0.01435 0.0373317
43405 0.012811 0.0101049 0.0136902 0.036606
43410 0.0127214 0.0102034 0.0129445 0.0358693
43415 0.0126412 0.0103525 0.012172 0.0351657
43420 0.0125857 0.0105206 0.0114349 0.0345412
43425 0.012568 0.010679 0.01079 0.034037
43430 0.0125957 0.0108076 0.0102806 0.0336839
43435 0.0126677 0.0108983 0.00993172 0.0334977
43440 0.0127741 0.0109555 0.00974781 0.0334774
43445 0.0128979 0.0109954 0.00971485 0.0336081
43450 0.0130186 0.0110417 0.00980486 0.0338651
43455 0.0131176 0.0111198 0.00998192 0.0342193
43460 0.0131841 0.0112509 0.0102083 0.0346434
43465 0.0132194 0.0114471 0.0104502 0.0351167
43470 0.013238 0.011708 0.010682 0.035628
43475 0.0132658 0.0120214 0.0108885 0.0361757
43480 0.013335 0.0123643 0.0110645 0.0367638
43485 0.0134778 0.0127058 0.0112124 0.0373959
43490 0.0137201 0.0130099 0.0113376 0.0380676
43495 0.0140761 0.0132394 0.0114462 0.0387616
43500 0.0145443 0.0133597 0.0115429 0.039447
43505 0.0151071 0.0133444 0.0116313 0.0400828
43510 0.015732 0.0131794 0.0117136 0.040625
43515 0.0163764 0.0128691 0.0117903 0.0410358
43520 0.0169943 0.0124385 0.0118588 0.0412916
43525 0.0175431 0.0119327 0.0119127 0.0413885
43530 0.0179889 0.0114118 0.0119414 0.0413421
43535 0.0183095 0.0109409 0.0119327 0.0411831
43540 0.0184945 0.0105796 0.0118761 0.0409502
43545 0.0185445 0.0103715 0.0117665 0.0406826
43550 0.0184686 0.0103377 0.0116069 0.0404132
43555 0.0182812 0.0104742 0.0114069 0.0401623
43560 0.0179998 0.0107528 0.0111796 0.0399322
43565 0.0176425 0.0111259 0.0109377 0.0397061
43570 0.0172268 0.0115323 0.0106912 0.0394503
43575 0.0167706 0.0119051 0.0104477 0.0391234
43580 0.0162922 0.0121806 0.0102153 0.038688
43585 0.0158113 0.0123069 0.0100053 0.0381235
43590 0.0153484 0.0122518 0.00983382 0.037434
43595 0.0149227 0.0120073 0.00971992 0.0366499
43600 0.0145493 0.0115906 0.00968176 0.0358216
