ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
12960
ITEM: BOX BOUNDS xy xz yz pp pp pp
-2.1300586426096402e-01 2.1803405864260888e+01 0.0000000000000000e+00
-2.1487285383260257e-01 2.1805272853832129e+01 0.0000000000000000e+00
6.1471058551430247e-01 3.0850528941448414e+02 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
401 1 1.52697 19.3215 10.5823 -7.32455 -0.221378 -0.522754 2.64726 
11 1 3.19647 1.14105 5.74068 -7.73594 -0.449434 -0.815877 -0.753185 
227 1 5.22604 1.06756 10.6964 -7.89488 -0.216671 1.64945 0.73744 
47 1 4.05939 5.46227 4.92556 -8.2571 -1.69803 0.887276 0.366823 
263 1 4.25444 3.82079 9.8826 -7.816 2.32442 -2.14322 1.85877 
83 1 3.25505 8.39818 5.46726 -7.74602 -0.242438 0.609807 2.36221 
299 1 5.19493 8.32227 10.7083 -7.98531 -0.611342 0.637482 0.273585 
119 1 4.29518 12.8312 5.02969 -7.98407 -1.96485 2.28725 -0.37528 
335 1 4.59163 11.2761 9.75892 -7.91972 -0.282157 -0.947162 4.97014 
155 1 2.87073 15.7735 5.99386 -8.14177 1.62994 -1.64686 -1.22484 
371 1 5.35166 15.5495 10.8575 -8.47341 -1.96586 0.0216155 1.48329 
191 1 3.99981 20.2277 4.97901 -8.13155 1.06667 -1.83929 -3.44605 
407 1 4.17224 18.4076 10.0497 -7.98541 2.00451 0.0337168 -2.46532 
17 1 7.61042 2.06728 4.89481 -7.74047 3.59368 1.75972 3.0365 
233 1 7.84949 0.583463 10.111 -7.67498 0.872901 -2.69016 -0.471526 
53 1 6.93446 4.95689 5.80766 -8.209 -0.627337 0.0706883 -0.10074 
269 1 9.1349 4.89879 10.9669 -7.79465 -0.333665 -1.43316 -0.859058 
89 1 7.93092 9.42004 5.08894 -7.85422 -1.75552 -2.21718 -2.72224 
305 1 8.21327 7.40303 9.99842 -7.32656 -0.311827 -1.21031 0.488829 
125 1 7.09311 12.049 5.92689 -7.92022 -1.13732 1.56091 0.779845 
341 1 8.89856 12.2246 10.7512 -8.01289 1.42345 -2.02815 0.351372 
161 1 7.83002 16.7587 4.85626 -8.21284 -0.601747 0.108727 -0.315346 
377 1 8.17946 15.0415 10.1366 -7.91335 0.527906 1.16859 -2.27545 
197 1 6.79368 19.7577 5.61149 -8.5372 1.751 -0.632924 1.56847 
413 1 8.80274 19.2176 11.0154 -7.41363 1.3566 2.45238 -0.946365 
23 1 10.6573 1.22917 5.54743 -8.05565 0.787086 -0.82378 2.7935 
239 1 12.3159 0.954753 10.735 -8.07018 0.673115 -2.83864 0.709439 
59 1 11.3635 5.41926 4.93367 -8.7161 2.22699 1.52591 0.957738 
275 1 11.7724 3.68841 10.1461 -8.04375 -0.41811 1.13551 -0.658568 
95 1 10.3876 8.61136 5.87671 -7.35263 1.3227 0.541104 0.669495 
311 1 12.6848 8.28101 10.9383 -7.5404 -0.844973 -0.576265 -0.344334 
131 1 11.6803 13.1565 4.80598 -8.2002 0.119861 -0.677327 0.226583 
347 1 11.8883 10.8646 10.0225 -9.07215 -0.380268 1.88531 -4.01227 
167 1 10.4608 15.9944 5.66082 -7.85386 0.871349 -0.046528 2.4431 
383 1 12.719 15.4356 10.9624 -7.51292 -1.18464 -1.53526 -0.399636 
203 1 11.5093 20.1645 4.68381 -9.3042 -0.493613 -0.769588 0.450215 
419 1 11.6953 18.7654 10.114 -8.27635 1.11557 0.796129 -0.977204 
29 1 15.0338 1.78623 4.78314 -7.68751 1.41376 0.672413 0.584863 
245 1 15.5181 -0.109393 9.92919 -7.12821 1.66904 -0.269919 -1.53557 
65 1 14.1018 4.92186 5.69465 -8.55862 0.939816 0.873478 2.41847 
