# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
41500 0.00418194 0.00450455 0.00410632 0.0127928
41505 0.00423327 0.00465599 0.00399766 0.0128869
41510 0.0042768 0.00482887 0.00389306 0.0129987
41515 0.00431296 0.00501331 0.00379837 0.0131246
41520 0.00434287 0.00519876 0.00371934 0.013261
41525 0.00436793 0.00537519 0.00366128 0.0134044
41530 0.00438953 0.00553403 0.00362851 0.0135521
41535 0.00440889 0.00566887 0.00362396 0.0137017
41540 0.00442719 0.00577576 0.00364882 0.0138518
41545 0.00444556 0.0058531 0.00370243 0.0140011
41550 0.00446516 0.0059014 0.00378246 0.014149
41555 0.004487 0.00592283 0.00388519 0.014295
41560 0.00451183 0.00592063 0.00400587 0.0144383
41565 0.00453991 0.00589857 0.00413906 0.0145775
41570 0.00457089 0.0058604 0.00427901 0.0147103
41575 0.00460391 0.00580945 0.00442016 0.0148335
41580 0.00463787 0.00574837 0.0045575 0.0149437
41585 0.00467168 0.00567913 0.00468694 0.0150378
41590 0.00470464 0.00560324 0.00480542 0.0151133
41595 0.00473658 0.00552206 0.00491089 0.0151695
41600 0.00476791 0.00543727 0.00500233 0.0152075
41605 0.00479951 0.00535114 0.00507972 0.0152304
41610 0.00483249 0.00526643 0.00514401 0.0152429
41615 0.00486791 0.00518608 0.00519681 0.0152508
41620 0.00490651 0.00511269 0.00523996 0.0152592
41625 0.0049484 0.00504798 0.00527481 0.0152712
41630 0.00499286 0.00499258 0.00530164 0.0152871
41635 0.00503822 0.00494624 0.00531928 0.0153037
41640 0.00508189 0.00490837 0.00532517 0.0153154
41645 0.00512045 0.00487876 0.00531609 0.0153153
41650 0.00514993 0.00485824 0.0052893 0.0152975
41655 0.00516599 0.00484904 0.00524371 0.0152587
41660 0.00516412 0.00485453 0.00518079 0.0151994
41665 0.00514 0.00487856 0.00510483 0.0151234
41670 0.00508983 0.00492449 0.00502256 0.0150369
41675 0.00501088 0.00499417 0.00494206 0.0149471
41680 0.00490199 0.00508732 0.0048714 0.0148607
41685 0.00476414 0.00520123 0.00481709 0.0147825
41690 0.00460072 0.00533117 0.00478281 0.0147147
41695 0.00441765 0.00547113 0.00476854 0.0146573
41700 0.00422332 0.00561476 0.0047704 0.0146085
41705 0.00402813 0.00575637 0.00478101 0.0145655
41710 0.00384391 0.00589152 0.00479045 0.0145259
41715 0.00368287 0.00601732 0.00478764 0.0144878
41720 0.00355642 0.0061323 0.00476198 0.0144507
41725 0.0034739 0.00623601 0.00470518 0.0144151
41730 0.00344147 0.00632868 0.00461297 0.0143831
41735 0.00346131 0.00641073 0.00448625 0.0143583
41740 0.00353134 0.00648256 0.00433157 0.0143455
41745 0.00364532 0.00654444 0.00416078 0.0143505
41750 0.00379355 0.0065964 0.00398966 0.0143796
41755 0.00396366 0.00663832 0.00383586 0.0144378
41760 0.00414177 0.00666984 0.00371635 0.014528
41765 0.00431367 0.00669042 0.00364474 0.0146488
41770 0.00446605 0.00669949 0.0036289 0.0147944
41775 0.00458774 0.00669663 0.00366949 0.0149539
41780 0.00467079 0.00668195 0.00375961 0.0151124
41785 0.00471138 0.00665651 0.00388566 0.0152536
41790 0.0047102 0.00662272 0.00402932 0.0153622
41795 0.00467231 0.00658447 0.00417028 0.0154271
41800 0.00460637 0.00654694 0.00428924 0.0154425
41805 0.00452343 0.00651599 0.00437074 0.0154102
41810 0.00443537 0.00649716 0.00440518 0.0153377
41815 0.00435325 0.00649445 0.00438984 0.0152375
41820 0.00428591 0.00650919 0.00432866 0.0151238
41825 0.00423893 0.00653922 0.00423094 0.0150091
41830 0.00421418 0.00657883 0.0041094 0.0149024
41835 0.00420995 0.00661919 0.0039779 0.014807
41840 0.00422174 0.00664964 0.00384937 0.0147208
41845 0.00424343 0.00665954 0.00373427 0.0146372
41850 0.00426862 0.00664009 0.00363976 0.0145485
41855 0.00429194 0.00658576 0.00356932 0.014447
41860 0.00430993 0.00649522 0.00352302 0.0143282
41865 0.00432143 0.00637148 0.00349802 0.0141909
41870 0.00432747 0.0062212 0.00348933 0.014038
41875 0.00433076 0.00605354 0.0034908 0.0138751
41880 0.00433497 0.00587857 0.00349607 0.0137096
41885 0.004344 0.00570586 0.00349966 0.0135495
41890 0.00436142 0.00554331 0.00349776 0.0134025
41895 0.00438994 0.00539645 0.00348878 0.0132752
41900 0.00443101 0.00526824 0.00347354 0.0131728
41905 0.0044845 0.00515921 0.00345496 0.0130987
41910 0.00454844 0.00506784 0.00343749 0.0130538
41915 0.00461891 0.00499112 0.00342619 0.0130362
41920 0.00469015 0.00492515 0.00342586 0.0130412
41925 0.00475498 0.00486561 0.00344035 0.0130609
41930 0.00480554 0.0048083 0.0034719 0.0130857
41935 0.00483427 0.00474959 0.00352095 0.0131048
41940 0.00483499 0.0046867 0.00358614 0.0131078
41945 0.00480394 0.00461791 0.00366452 0.0130864
41950 0.00474034 0.00454278 0.00375197 0.0130351
41955 0.00464663 0.00446223 0.0038437 0.0129526
41960 0.00452804 0.00437859 0.00393471 0.0128413
41965 0.0043919 0.00429544 0.0040203 0.0127076
41970 0.0042465 0.00421718 0.00409656 0.0125602
41975 0.0041 0.00414862 0.0041608 0.0124094
41980 0.00395944 0.00409438 0.00421193 0.0122657
41985 0.00383011 0.00405852 0.0042507 0.0121393
41990 0.00371545 0.00404429 0.00427972 0.0120395
41995 0.00361724 0.00405396 0.00430319 0.0119744
42000 0.00353622 0.00408881 0.00432635 0.0119514
42005 0.00347276 0.00414895 0.00435472 0.0119764
42010 0.00342742 0.00423311 0.0043931 0.0120536
42015 0.00340137 0.00433845 0.00444482 0.0121846
42020 0.00339649 0.0044603 0.00451119 0.012368
42025 0.00341507 0.00459226 0.00459116 0.0125985
42030 0.00345937 0.00472645 0.00468142 0.0128672
42035 0.00353093 0.00485414 0.00477674 0.0131618
42040 0.00362983 0.00496668 0.00487072 0.0134672
42045 0.00375423 0.00505658 0.00495664 0.0137675
42050 0.00390007 0.00511855 0.00502841 0.014047
42055 0.00406122 0.00515047 0.00508149 0.0142932
42060 0.00423001 0.00515391 0.00511364 0.0144976
42065 0.00439795 0.00513411 0.00512524 0.0146573
42070 0.00455654 0.00509931 0.0051194 0.0147752
42075 0.00469811 0.0050595 0.00510166 0.0148593
42080 0.0048165 0.00502484 0.00507935 0.0149207
42085 0.00490743 0.00500402 0.00506071 0.0149722
42090 0.00496882 0.00500281 0.00505377 0.0150254
42095 0.00500067 0.00502311 0.0050653 0.0150891
42100 0.00500486 0.00506268 0.00509974 0.0151673
42105 0.00498474 0.00511552 0.00515857 0.0152588
42110 0.00494471 0.00517283 0.00524 0.0153575
42115 0.0048897 0.00522439 0.00533926 0.0154533
42120 0.00482473 0.00526013 0.0054494 0.0155343
42125 0.00475455 0.0052717 0.00556247 0.0155887
42130 0.00468342 0.00525379 0.00567084 0.015608
42135 0.00461505 0.0052051 0.00576843 0.0155886
42140 0.00455277 0.00512862 0.00585163 0.015533
42145 0.00449979 0.00503132 0.00591964 0.0154508
42150 0.00445951 0.00492314 0.00597447 0.0153571
42155 0.00443569 0.00481539 0.00602034 0.0152714
42160 0.00443241 0.00471904 0.00606295 0.0152144
42165 0.00445379 0.00464296 0.00610857 0.0152053
42170 0.00450355 0.00459277 0.00616312 0.0152594
42175 0.0045845 0.00457017 0.00623135 0.015386
42180 0.00469806 0.00457308 0.00631614 0.0155873
42185 0.00484389 0.0045964 0.00641796 0.0158583
42190 0.00501979 0.00463335 0.00653472 0.0161879
42195 0.00522174 0.00467696 0.00666203 0.0165607
42200 0.00544424 0.00472168 0.00679364 0.0169596
42205 0.00568069 0.00476463 0.00692232 0.0173676
42210 0.00592381 0.00480625 0.00704061 0.0177707
42215 0.00616588 0.00485037 0.0071415 0.0181578
42220 0.00639896 0.00490346 0.00721889 0.0185213
42225 0.00661479 0.00497339 0.00726782 0.018856
42230 0.00680495 0.00506794 0.00728451 0.0191574
42235 0.00696089 0.00519315 0.00726653 0.0194206
42240 0.00707437 0.00535205 0.0072129 0.0196393
42245 0.00713788 0.00554368 0.00712443 0.019806
42250 0.00714537 0.00576261 0.00700382 0.0199118
42255 0.00709304 0.00599906 0.00685565 0.0199478
42260 0.00698008 0.0062395 0.00668609 0.0199057
42265 0.00680928 0.00646788 0.00650237 0.0197795
42270 0.00658721 0.00666724 0.00631229 0.0195667
42275 0.00632414 0.00682154 0.0061236 0.0192693
42280 0.00603339 0.00691755 0.00594358 0.0188945
