Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Tc, -160.57246431, Tc_ONCV_PBEsol-1.0.upf, 30, 120, 15.00, SG15, 1.00, 2.91
Te, -26.17732820, te_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Th, -952.76211571, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 0.21, 1.67
Ti, -118.72709232, ti_pbesol_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, 0.01, 1.94
Tl, -144.51361224, tl_pbesol_v1.2.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, -0.00, 0.00
Tm, -937.76778905, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, 0.01, 0.10
U, -1014.51684921, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, -0.03, 2.42
V, -144.46947964, v_pbesol_v1.4.uspp.F.UPF, 35, 280, 13.00, GBRV-1.4, -1.29, 2.60
W, -158.18886879, w_pbesol_v1.2.uspp.F.UPF, 30, 240, 14.00, GBRV-1.2, 0.00, 0.01
Xe, -231.79816034, Xe_ONCV_PBEsol-1.1.upf, 60, 240, 18.00, SG15-1.1, -0.00, 0.00
Yb, -1002.37701534, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, -0.00, 0.00
Y, -92.39789522, y_pbesol_v1.4.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.00, 0.00
Zn, -461.13843599, zn_pbesol_v1.uspp.F.UPF, 40, 320, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -98.64685175, zr_pbesol_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, -0.00, 0.01
