ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-3.3644984672871203e-01 1.4427244984672262e+02 0.0000000000000000e+00
-3.4938705187348873e-02 2.1625338705187247e+01 0.0000000000000000e+00
-1.5887599433890998e-01 2.5918875994338784e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
1703 1 11.3823 4.57421 9.89324 -7.85098 -0.787649 0.227915 1.00145 
503 1 11.3414 7.9851 4.74007 -7.61524 -0.388161 0.687334 -0.575666 
1943 1 11.4256 8.13419 9.95462 -7.74739 -0.311843 -0.713072 -0.363977 
743 1 11.382 11.7128 4.73197 -8.0419 -0.0604398 0.627234 0.905539 
2183 1 11.3534 11.6682 9.99443 -8.41681 0.93435 0.553169 -0.384464 
983 1 11.3266 15.3936 4.64189 -8.14225 0.217634 0.440653 0.371489 
2423 1 11.4418 15.3646 9.91068 -7.88234 -0.278093 -0.633986 0.687531 
1223 1 11.3378 18.9317 4.65051 -8.29211 -0.523747 -0.108285 1.32252 
2663 1 11.5174 18.9709 9.85673 -7.50875 -1.24206 1.45836 0.791672 
2 2 0.420894 2.73112 1.17072 -29.1287 1.25667 -0.378956 -0.903284 
1442 2 0.452411 2.76185 6.4066 -29.3111 0.324443 -1.04376 -0.188251 
2882 2 0.434607 2.60585 11.5189 -28.7285 1.02461 0.364091 -0.481427 
242 2 0.613006 6.28455 1.16158 -29.1591 -0.519945 0.464618 0.299518 
1682 2 0.577476 6.31918 6.29683 -29.2446 -0.172567 -0.346256 0.216443 
3122 2 0.550497 6.18516 11.7118 -29.0744 1.3002 0.246307 -1.69355 
482 2 0.502293 9.8526 1.19409 -29.5244 -0.28273 0.323848 -0.00348114 
1922 2 0.56493 9.91107 6.46038 -29.0621 -0.813962 0.125191 -0.607713 
3362 2 0.522322 9.88095 11.6425 -29.0464 0.524167 0.0866182 -0.527106 
722 2 0.563356 13.5603 1.06295 -29.1961 -0.677317 -0.0714437 0.780991 
2162 2 0.407648 13.4948 6.41791 -28.9732 0.576026 1.30962 -0.458277 
3602 2 0.539626 13.4358 11.5672 -29.2437 1.25246 1.41949 -0.195463 
962 2 0.636217 17.1447 1.04232 -29.1827 -0.35087 -0.48813 0.539544 
2402 2 0.472814 17.1735 6.28885 -29.4921 0.905103 -0.537675 -0.212864 
3842 2 0.579195 17.0885 11.5782 -29.1636 0.576733 0.397673 -0.0605882 
1202 2 0.522159 20.7326 1.1674 -29.0177 0.87006 1.19206 -0.549909 
2642 2 0.501123 20.7349 6.36027 -29.6966 0.0999991 0.738325 -0.581236 
4082 2 0.504926 20.7108 11.4429 -29.2949 0.14382 -0.133903 1.06701 
8 2 4.11372 2.63054 1.14189 -29.3707 0.113551 -0.247273 -0.387333 
1448 2 4.06466 2.67399 6.35651 -29.7713 0.424891 0.11105 -0.396605 
2888 2 4.17195 2.71129 11.5611 -29.3749 -0.188924 0.29514 -0.764251 
248 2 4.25946 6.27706 1.02923 -29.1396 -2.04302 -0.100049 0.180152 
1688 2 4.15715 6.40709 6.42284 -29.1037 0.210908 -0.659527 -0.385284 
3128 2 4.19872 6.38666 11.5696 -29.1969 -0.759246 -0.746148 -0.835129 
488 2 4.13239 9.90212 1.1397 -29.3373 -0.0110385 -0.770005 0.00929735 
1928 2 4.03806 9.90989 6.27338 -29.0461 1.83298 0.721929 0.371754 
3368 2 4.12258 9.96383 11.559 -29.6201 0.247381 0.0453223 -0.189732 
728 2 4.11178 13.4943 1.10801 -29.4802 0.197092 0.477695 -0.299926 
2168 2 4.12552 13.5658 6.25769 -29.8891 -0.0413997 -0.672044 0.649763 
3608 2 4.16391 13.5305 11.6452 -30.0869 0.466264 0.231441 -1.01069 
968 2 4.16742 17.1753 1.23213 -29.4333 -0.191061 -0.293272 -1.62977 
2408 2 4.14154 17.162 6.26572 -29.3858 0.296952 -0.213314 1.19356 
3848 2 4.14119 17.1369 11.4998 -29.7848 0.155005 0.230237 0.195628 
1208 2 4.15179 20.8143 1.01636 -29.2053 -0.16342 -0.519052 -0.519969 
2648 2 4.08229 20.7262 6.2601 -29.3313 0.115437 0.909675 -0.0160507 
4088 2 4.17313 20.7406 11.4067 -29.2524 0.021478 -0.268536 0.599899 
14 2 7.74355 2.75443 1.03785 -28.8604 -0.313171 -1.80369 -0.0518917 
1454 2 7.80696 2.72744 6.39153 -29.4588 -1.49272 0.377935 -0.467994 
2894 2 7.79493 2.71121 11.6073 -29.1679 -0.247904 0.37696 -0.114619 
254 2 7.70482 6.19219 1.11976 -28.7768 1.22856 0.12247 -0.0391422 
1694 2 7.69757 6.36249 6.2952 -29.1841 0.603902 -1.14117 -0.135224 
3134 2 7.757 6.36863 11.4681 -29.0179 -0.166196 -0.219732 0.789652 
494 2 7.74104 9.78553 1.06522 -29.3486 0.866106 0.18327 0.106368 
1934 2 7.74909 9.88295 6.24848 -29.1387 -0.0739629 0.77005 0.416448 
3374 2 7.7884 9.90823 11.4468 -29.0011 -0.575667 1.0238 0.67304 
734 2 7.78788 13.4759 1.10999 -29.4449 -0.327187 0.115061 0.618255 
2174 2 7.84511 13.5267 6.24447 -29.3771 -0.932917 -0.0073021 0.821034 
3614 2 7.80142 13.4843 11.5929 -29.5499 -0.458253 -0.0809731 -0.0377139 
974 2 7.83983 17.0006 0.982865 -29.1158 -1.06841 1.26601 0.744788 
2414 2 7.66815 17.0702 6.35816 -29.3242 0.0581378 0.203536 -0.198836 
3854 2 7.84258 17.0678 11.5871 -29.6322 -0.28962 0.59292 -0.963389 
1214 2 7.72719 20.7961 1.15469 -28.6366 0.101939 -0.581624 -0.148896 
2654 2 7.65722 20.708 6.39719 -29.2052 -0.496213 0.056722 -0.192677 
4094 2 7.71852 20.7632 11.5341 -29.2007 0.564144 -0.928224 0.438827 
20 2 11.3624 2.6255 1.16513 -29.8868 0.609736 0.451827 0.163351 
1460 2 11.3121 2.69949 6.34294 -29.5053 1.21119 0.252106 -0.000588689 
2900 2 11.3334 2.67775 11.5769 -29.4789 0.35161 0.123289 0.0527915 
260 2 11.4357 6.29901 1.06612 -29.4561 -0.29207 -0.598226 -0.130927 
1700 2 11.4159 6.25041 6.32879 -29.7098 -0.442425 0.464169 -0.685985 
3140 2 11.3237 6.39712 11.5097 -29.3108 1.47561 -1.06699 0.568357 
500 2 11.4316 10.0078 1.13599 -29.3891 -0.516351 -1.53322 -0.398575 
1940 2 11.4253 9.82321 6.36599 -29.1842 -0.939653 0.458677 -0.356647 
3380 2 11.4041 9.92506 11.4949 -29.2402 -0.0441471 -0.118446 0.522614 
740 2 11.3664 13.4882 1.05614 -29.4431 -0.116198 -0.122017 -0.0337154 
2180 2 11.4083 13.534 6.32618 -28.9561 0.198078 -0.045239 -0.266641 
3620 2 11.3877 13.4657 11.4848 -28.6684 -0.0178699 1.15892 1.0204 
980 2 11.4438 17.125 1.07119 -29.1479 -1.30344 -0.659992 -0.0468515 
2420 2 11.3666 17.1232 6.12431 -28.8824 -0.469484 0.131114 1.67226 
3860 2 11.414 17.1376 11.5199 -29.4323 0.248286 -0.476808 0.212737 
1220 2 11.3833 20.6963 1.18114 -29.2661 0.231276 -0.0940681 -0.885189 
2660 2 11.2592 20.7714 6.34443 -28.783 0.891495 -0.731811 -0.0115488 
4100 2 11.386 20.7631 11.4821 -29.4114 0.0590822 -0.00614055 -0.0814655 
1 2 2.20573 0.924592 3.74111 -29.3972 0.714029 -0.161222 0.653117 
1441 2 2.33219 0.89248 8.96403 -29.2569 0.332819 -0.0954188 -0.457182 
241 2 2.38299 4.48414 3.71322 -29.3806 -0.738657 0.0560495 -0.459813 
